Nitrogen metabolism,Taurine and hypotaurine metabolism,"Valine, leucine and isoleucine degradation",Methane metabolism,Glycosaminoglycan degradation,Biosynthesis of various other secondary metabolites,Biosynthesis of type II polyketide products,"Valine, leucine and isoleucine biosynthesis",Glycolysis / Gluconeogenesis,alpha-Linolenic acid metabolism,Lysine biosynthesis,2-Oxocarboxylic acid metabolism,Phenazine biosynthesis,"Glycine, serine and threonine metabolism",Citrate cycle (TCA cycle),Degradation of aromatic compounds,Phenylalanine metabolism,Thiamine metabolism,Pyruvate metabolism,Biosynthesis of secondary metabolites,class
8245.763,2190.737,3452.807,18085.848,1879.763,532.891,2.193,22795.433,37354.078,0.0,20930.599,20287.232,22.441,7798.282,37902.128,1458.617,861.449,9074.14,11723.582,89327.122,Perio
3134.254,1097.145,1997.705,10607.051,935.295,204.059,5.347,10972.768,19154.16,25.317,10570.972,10418.664,56.51,4160.987,19683.363,598.282,516.562,5849.884,6247.476,45403.09,Perio
7698.067,1616.763,2773.918,14448.323,1244.973,275.452,5.876,16657.26,24917.537,2.532,14440.392,15197.84,24.657,4683.453,28914.208,686.537,471.175,7443.879,8301.4,65218.212,Perio
11645.487,3326.793,5420.997,33329.399,4680.681,308.36,31.989,39092.76,64404.516,2.544,39316.236,34633.419,2.315,13629.904,63081.594,1406.504,1005.043,13831.152,20212.086,150646.117,Caries
10563.73,2992.151,5054.09,24678.881,2371.051,795.136,164.029,30876.551,54928.108,48.102,29487.479,28330.082,73.412,10669.451,54946.65,2203.184,1350.081,15320.812,17228.64,130680.812,Caries
2469.359,685.738,1172.373,4331.415,179.997,208.22,0.0,7576.439,11369.551,2.544,5843.969,7003.345,19.487,1903.337,11427.612,533.046,280.795,2737.009,3369.62,27423.894,Caries
5851.821,1687.69,2625.732,14642.54,1088.139,349.511,0.0,17226.21,27241.363,15.273,17339.711,16001.721,74.95,6012.208,28727.439,893.759,630.443,8272.371,8899.86,69918.304,Caries
7094.278,1754.964,3189.366,13177.665,2063.766,672.071,22.153,18550.459,31820.714,15.243,18013.619,16342.348,19.336,6463.921,33626.443,1138.786,674.908,9297.379,10594.83,79987.817,Caries
5249.634,1457.974,2500.769,10707.388,744.807,693.144,48.246,17396.711,26574.828,0.0,14408.751,16441.646,13.123,5227.299,28585.136,1282.869,729.622,7864.399,9441.82,66841.696,Caries
6379.398,1829.885,3201.446,17386.153,2261.338,303.882,9.028,26489.874,32374.906,0.0,22565.216,24970.436,35.332,7793.324,35947.221,927.653,524.103,9070.238,11029.769,92619.435,Caries
7920.31,2773.109,4087.668,22903.76,2417.854,450.362,30.111,30097.154,45172.223,30.444,27381.88,28532.176,39.406,9922.842,46845.372,1484.055,877.877,10964.764,14452.916,111322.456,Caries
5267.744,1523.238,2251.526,12730.162,956.759,336.163,23.485,14305.28,24572.404,65.823,13420.836,13164.627,38.752,5193.985,24940.263,1032.928,637.432,7599.082,7850.908,58666.964,Caries
10517.701,3237.639,4983.94,28891.643,3043.17,336.192,11.67,37940.723,55837.35,17.811,34033.493,34894.424,27.764,13169.372,55933.245,1550.33,889.987,13899.696,17712.64,136731.447,Caries
