alpha-Linolenic acid metabolism,Lysine biosynthesis,2-Oxocarboxylic acid metabolism,Glycosaminoglycan degradation,Butanoate metabolism,Nitrogen metabolism,"Valine, leucine and isoleucine biosynthesis",Lipopolysaccharide biosynthesis,Folate biosynthesis,Porphyrin metabolism,Biotin metabolism,Thiamine metabolism,Phenylalanine metabolism,Carbon fixation pathways in prokaryotes,Taurine and hypotaurine metabolism,C5-Branched dibasic acid metabolism,"Valine, leucine and isoleucine degradation",Xylene degradation,Carbon metabolism,Glutathione metabolism,O-Antigen nucleotide sugar biosynthesis,Benzoate degradation,One carbon pool by folate,Biosynthesis of secondary metabolites,Degradation of aromatic compounds,Pentose phosphate pathway,Galactose metabolism,Amino sugar and nucleotide sugar metabolism,Purine metabolism,Riboflavin metabolism,Tryptophan metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",Streptomycin biosynthesis,Polyketide sugar unit biosynthesis,Fructose and mannose metabolism,Pantothenate and CoA biosynthesis,beta-Alanine metabolism,Phenazine biosynthesis,Biosynthesis of various other secondary metabolites,Biosynthesis of various antibiotics,Starch and sucrose metabolism,Lysine degradation,Lipoic acid metabolism,Nicotinate and nicotinamide metabolism,Cysteine and methionine metabolism,"Glycine, serine and threonine metabolism",Carbon fixation in photosynthetic organisms,Methane metabolism,Primary bile acid biosynthesis,Oxidative phosphorylation,Biosynthesis of amino acids,Tyrosine metabolism,D-Amino acid metabolism,Glyoxylate and dicarboxylate metabolism,Ascorbate and aldarate metabolism,Pyruvate metabolism,Glycolysis / Gluconeogenesis,Fatty acid biosynthesis,Sphingolipid metabolism,Biosynthesis of nucleotide sugars,Carotenoid biosynthesis,Phenylpropanoid biosynthesis,Fatty acid elongation,Metabolic pathways,Citrate cycle (TCA cycle),Terpenoid backbone biosynthesis,Pyrimidine metabolism,Sulfur metabolism,Glycerophospholipid metabolism,Mannose type O-glycan biosynthesis,Biosynthesis of cofactors,Microbial metabolism in diverse environments,Ubiquinone and other terpenoid-quinone biosynthesis,Arginine biosynthesis,Fatty acid degradation,Propanoate metabolism,Inositol phosphate metabolism,"Alanine, aspartate and glutamate metabolism",Histidine metabolism,Pentose and glucuronate interconversions,Fatty acid metabolism,Nucleotide metabolism,Glycerolipid metabolism,Arginine and proline metabolism,Biosynthesis of type II polyketide products,Vitamin B6 metabolism,class
200.013,46360.625,37507.377,4029.199,1289.301,13728.991,40476.928,20112.589,82569.581,48947.811,26246.518,25655.177,1533.431,94389.963,3902.651,4501.804,7253.984,1317.845,360461.327,775.87,5385.339,1317.845,37054.612,195774.539,2161.363,56886.675,13305.767,22869.944,39097.342,27469.896,4486.453,36076.679,5112.887,5112.887,3370.85,39962.666,780.739,83.229,1336.454,2338.807,15916.647,3156.926,7725.103,11135.866,33011.15,17299.33,55891.092,34657.528,37.038,43020.953,218541.391,2340.231,393.002,21822.502,6610.903,26643.854,76836.606,85427.209,96.514,35417.356,759.538,901.282,1806.099,1173989.51,88103.335,19880.73,35816.36,6423.538,5549.561,1034.515,312783.749,258657.607,13763.014,9138.261,9067.845,2447.893,667.25,6165.091,7200.392,3305.738,95249.054,39664.529,2216.933,3910.785,175.859,4349.244,Perio
37.974,24116.016,23225.346,1567.017,926.067,6458.347,25206.875,5720.276,46147.675,21154.326,10232.211,10911.074,1131.983,40106.035,2670.814,2889.825,3718.545,979.026,175385.682,434.443,2411.36,984.773,20252.058,97325.201,1710.736,29475.027,7064.685,12908.129,21590.078,11767.828,2634.376,21037.697,2338.43,2338.43,1322.513,21485.968,373.11,44.939,444.888,1453.109,10811.229,1422.632,1754.346,5778.381,18066.824,8085.62,30491.345,19679.67,3.384,12451.571,125859.1,1145.827,295.283,11328.722,3128.678,13471.086,41810.847,40730.604,85.096,17604.515,115.95,700.012,878.554,584592.88,38880.461,9671.762,20086.98,2492.906,2022.783,366.299,146300.159,126956.684,3677.114,6732.45,3825.593,1542.053,102.786,3479.14,5080.532,1737.477,45159.42,21625.376,1132.331,2527.157,4.386,1518.196,Perio
50.658,22122.635,20689.798,1969.153,970.49,7901.608,23151.564,10696.372,46619.606,36342.287,14019.306,16068.689,1569.996,49760.727,2540.248,2845.472,5531.893,1292.789,210409.085,524.445,3012.561,1304.501,20302.126,108761.425,2155.349,35710.524,7961.945,14302.889,24002.476,16620.646,2864.744,18266.811,2928.133,2928.133,1446.05,22900.883,889.233,104.619,874.038,1537.254,9031.522,2297.796,4575.938,6776.594,18832.577,9107.082,35118.913,21096.623,15.152,19180.438,118246.157,1073.362,537.356,11396.209,3207.208,15350.872,51248.301,48791.348,201.106,21551.032,257.189,618.075,1887.624,688754.163,49236.946,12727.516,20965.542,2920.135,3611.438,651.385,186477.854,151670.596,6032.642,4549.737,9247.599,2172.302,387.352,2717.382,3234.928,1805.053,59230.862,24162.055,1390.929,2529.714,80.868,2310.057,Perio
35.469,10629.778,8655.763,707.69,369.956,2757.034,8677.871,3828.127,19168.211,12796.308,6270.742,6707.029,646.291,20423.854,986.104,1163.976,1748.304,299.284,83736.564,141.213,1229.816,305.852,8435.281,44111.094,532.797,14146.344,3222.055,5832.631,9680.523,6455.34,1095.655,7624.741,1204.178,1204.178,662.424,8928.96,451.321,85.281,353.515,657.016,4134.265,887.948,1499.211,2667.151,7242.706,3909.985,14413.775,8173.899,20.22,8292.446,50792.898,518.506,124.278,5220.296,1513.493,5860.048,18691.658,19246.387,57.674,8494.381,109.698,266.148,1111.723,278471.006,19391.322,5383.18,8795.645,1098.312,1232.114,198.856,74299.839,60639.292,2407.134,2896.353,4398.001,913.618,116.906,1530.123,2250.085,834.674,24549.623,9633.142,605.559,1176.493,4.189,873.442,Perio
55.695,38828.801,38893.313,3085.302,877.664,12559.274,42752.759,13471.475,72510.083,38343.649,18347.967,18091.071,1378.747,70294.353,3494.196,5552.033,6479.227,1111.789,286684.876,477.733,4805.201,1113.431,30357.741,163211.34,1938.617,45716.197,10616.612,18867.907,33968.299,20884.648,3746.909,30195.555,4700.553,4700.553,2735.09,35635.673,639.008,141.864,835.589,2038.045,14137.032,2413.447,4282.862,9080.443,30890.496,13881.672,47878.123,32517.932,0.0,28922.119,196532.823,1927.539,424.601,17033.968,5613.571,21106.318,64830.805,61849.666,113.301,28864.415,144.306,1048.568,1336.626,951099.769,66805.411,15970.325,29336.399,4094.917,3761.966,772.094,245082.636,209599.249,9450.01,9101.704,6622.684,2543.456,186.65,4436.531,7729.197,2636.95,69062.822,33876.95,1903.624,3341.473,15.351,2736.483,Perio
20.292,19188.291,17963.145,1263.059,739.162,7959.785,19837.755,4861.77,36230.711,18991.959,8366.284,10199.409,846.588,35677.829,2151.598,2348.548,3712.662,664.378,152529.753,388.214,2574.841,672.238,15913.046,82276.923,1168.974,25548.632,5753.219,9337.881,17749.188,10550.892,1883.612,16348.953,2519.945,2519.945,1523.687,18151.124,328.336,35.103,452.409,1019.674,6911.305,1384.988,3306.049,4252.833,14372.391,6695.687,25240.876,17000.294,6.734,13561.254,97957.815,1078.2,252.911,8500.073,2823.025,11422.819,36054.871,31366.454,75.795,13809.706,39.545,427.027,730.815,489128.285,36329.619,8295.99,15777.484,1892.896,1840.899,462.356,125945.723,110795.424,4686.65,4362.451,3440.944,1217.312,135.195,2193.993,2833.154,1470.759,35038.173,17805.201,1089.417,1638.356,19.737,1426.676,Perio
20.292,23924.417,23686.928,2340.172,824.237,9405.265,24709.903,6228.078,43016.565,22654.114,10503.841,12192.193,779.145,42186.84,2501.468,3086.022,3737.788,775.649,179390.372,449.597,3249.145,777.291,18871.387,104234.922,1338.058,29930.808,6821.233,12455.17,21522.33,11287.934,2153.327,21212.377,3248.263,3248.263,1698.475,21303.837,307.647,62.15,496.736,1089.996,9293.456,1309.585,3479.911,4679.898,18369.476,8745.53,29030.402,19447.31,0.0,18878.083,125362.722,1481.525,109.85,11953.288,3845.031,13431.612,38134.885,41680.745,47.468,17809.097,136.932,573.201,407.829,592927.587,43628.652,10160.735,19564.514,2429.088,2037.062,500.963,150057.808,130522.372,6696.413,7043.567,2046.124,1423.078,241.824,3602.2,4749.342,2244.888,43461.552,21263.841,1388.252,2309.827,21.93,1708.666,Perio
0.0,20930.599,20287.232,1879.763,645.841,8245.763,22795.433,5549.387,36673.164,17499.069,8808.222,9074.14,861.449,38437.744,2190.737,2675.935,3452.807,846.265,161122.609,410.217,2213.405,851.191,16614.844,89327.122,1458.617,27058.782,6066.538,10307.647,18269.925,11302.626,1829.772,17947.899,2201.214,2201.214,1540.019,19579.285,181.294,22.441,532.891,1116.997,8907.119,1265.741,3481.226,4059.163,16277.338,7798.282,26729.35,18085.848,0.0,15067.906,108140.406,1123.077,115.849,8771.915,3747.321,11723.582,37354.078,35152.175,49.955,14529.696,56.724,551.442,263.868,516821.317,37902.128,9582.255,17443.799,1812.441,2221.339,532.227,127043.062,118352.345,4943.46,4479.503,1602.197,1054.453,129.852,2417.902,2961.595,1477.138,36519.588,19467.296,990.135,1557.562,2.193,1530.79,Perio
25.317,10570.972,10418.664,935.295,322.636,3134.254,10972.768,3813.126,20300.879,11038.908,5839.243,5849.884,516.562,21818.826,1097.145,1391.539,1997.705,321.702,88749.261,139.686,1282.464,330.854,9199.942,45403.09,598.282,14227.857,3370.087,5592.927,10126.809,6204.508,1030.921,8282.905,1234.518,1234.518,799.145,9898.454,275.761,56.51,204.059,675.558,4783.33,764.676,1329.49,2477.304,8567.393,4160.987,14988.966,10607.051,0.0,7859.715,55698.147,591.888,87.588,5804.336,1748.091,6247.476,19154.16,20240.744,43.538,8288.347,61.128,298.532,680.312,285230.831,19683.363,4363.074,9199.074,1188.709,1089.92,175.19,72785.693,65093.685,2301.577,3075.791,2774.656,912.875,64.105,1613.296,2254.244,977.917,23548.455,10036.168,584.489,1163.059,5.347,851.479,Perio
2.532,14440.392,15197.84,1244.973,719.673,7698.067,16657.26,4082.858,30795.13,14539.804,6472.418,7443.879,471.175,29898.172,1616.763,2107.511,2773.918,375.697,120363.627,290.086,1896.537,376.518,13038.911,65218.212,686.537,19142.024,4495.924,7006.145,13870.904,8123.754,1688.487,13120.499,1890.165,1890.165,1378.922,13904.911,207.636,24.657,275.452,869.997,5752.672,757.808,2193.211,3683.357,10923.026,4683.453,18710.658,14448.323,0.0,11113.197,76819.366,802.838,97.753,8110.908,2573.011,8301.4,24917.537,24784.234,61.604,10403.916,19.036,331.598,285.717,385070.846,28914.208,6107.181,12921.641,1343.846,1238.292,287.371,100498.366,89833.905,4030.273,3791.438,1631.148,1198.223,49.816,2418.572,2563.815,1184.354,26343.898,13997.162,830.938,1622.71,5.876,1076.885,Perio
