alpha-Linolenic acid metabolism,Lysine biosynthesis,2-Oxocarboxylic acid metabolism,Glycosaminoglycan degradation,Butanoate metabolism,Nitrogen metabolism,"Valine, leucine and isoleucine biosynthesis",Lipopolysaccharide biosynthesis,Folate biosynthesis,Porphyrin metabolism,Biotin metabolism,Thiamine metabolism,Phenylalanine metabolism,Carbon fixation pathways in prokaryotes,Taurine and hypotaurine metabolism,C5-Branched dibasic acid metabolism,"Valine, leucine and isoleucine degradation",Xylene degradation,Carbon metabolism,Glutathione metabolism,O-Antigen nucleotide sugar biosynthesis,Benzoate degradation,One carbon pool by folate,Biosynthesis of secondary metabolites,Degradation of aromatic compounds,Pentose phosphate pathway,Galactose metabolism,Amino sugar and nucleotide sugar metabolism,Purine metabolism,Riboflavin metabolism,Tryptophan metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",Streptomycin biosynthesis,Polyketide sugar unit biosynthesis,Fructose and mannose metabolism,Pantothenate and CoA biosynthesis,beta-Alanine metabolism,Phenazine biosynthesis,Biosynthesis of various other secondary metabolites,Biosynthesis of various antibiotics,Starch and sucrose metabolism,Lysine degradation,Lipoic acid metabolism,Nicotinate and nicotinamide metabolism,Cysteine and methionine metabolism,"Glycine, serine and threonine metabolism",Carbon fixation in photosynthetic organisms,Methane metabolism,Primary bile acid biosynthesis,Oxidative phosphorylation,Biosynthesis of amino acids,Tyrosine metabolism,D-Amino acid metabolism,Glyoxylate and dicarboxylate metabolism,Ascorbate and aldarate metabolism,Pyruvate metabolism,Glycolysis / Gluconeogenesis,Fatty acid biosynthesis,Sphingolipid metabolism,Biosynthesis of nucleotide sugars,Carotenoid biosynthesis,Phenylpropanoid biosynthesis,Fatty acid elongation,Metabolic pathways,Citrate cycle (TCA cycle),Terpenoid backbone biosynthesis,Pyrimidine metabolism,Sulfur metabolism,Glycerophospholipid metabolism,Mannose type O-glycan biosynthesis,Biosynthesis of cofactors,Microbial metabolism in diverse environments,Ubiquinone and other terpenoid-quinone biosynthesis,Arginine biosynthesis,Fatty acid degradation,Propanoate metabolism,Inositol phosphate metabolism,"Alanine, aspartate and glutamate metabolism",Histidine metabolism,Pentose and glucuronate interconversions,Fatty acid metabolism,Nucleotide metabolism,Glycerolipid metabolism,Arginine and proline metabolism,Biosynthesis of type II polyketide products,Vitamin B6 metabolism,class
2.544,39316.236,34633.419,4680.681,824.065,11645.487,39092.76,15046.874,70871.143,31463.035,19065.659,13831.152,1005.043,72584.927,3326.793,5756.793,5420.997,753.97,283650.843,365.273,3692.194,753.881,30002.404,150646.117,1406.504,44640.872,11264.089,17648.532,32675.779,20797.786,3331.312,28344.383,3687.516,3687.516,2744.11,33541.921,379.005,2.315,308.36,2061.602,13699.556,2056.713,5574.373,7751.133,28807.397,13629.904,47624.536,33329.399,0.0,30821.559,182387.185,2190.95,251.673,17133.819,6794.972,20212.086,64404.516,66189.342,6.229,26741.95,13.614,1023.584,955.291,922698.437,63081.594,14669.288,32366.049,2855.572,3764.836,850.112,235236.392,209762.607,9946.131,4373.498,3583.579,2533.688,91.783,4230.755,6216.761,2772.087,70256.812,36432.757,1716.606,3266.812,31.989,2584.444,Caries
48.102,29487.479,28330.082,2371.051,960.862,10563.73,30876.551,10412.678,52910.017,33248.145,15181.13,15320.812,1350.081,54499.66,2992.151,3910.068,5054.09,1270.631,234540.02,385.817,3342.723,1246.093,23030.135,130680.812,2203.184,40551.311,9371.65,15672.159,26023.393,16443.724,2910.667,25326.378,3222.427,3222.427,1910.755,27138.088,475.099,73.412,795.136,1837.246,12054.264,1963.835,5038.448,6707.082,22137.71,10669.451,39399.527,24678.881,0.0,24828.753,153425.588,1538.077,336.37,13608.148,4145.689,17228.64,54928.108,54936.385,112.409,23055.554,350.567,783.999,899.794,766122.991,54946.65,13191.483,23237.837,3901.194,3087.55,679.879,195340.98,171072.358,7285.36,7550.279,4340.859,1706.851,488.276,3794.695,4722.97,2288.087,59378.356,26002.036,1573.942,2969.169,164.029,2346.714,Caries
2.544,5843.969,7003.345,179.997,293.322,2469.359,7576.439,663.359,11841.654,4778.781,2038.713,2737.009,280.795,8995.806,685.738,947.712,1172.373,313.823,44805.86,117.685,932.716,314.644,5013.049,27423.894,533.046,8345.439,1952.219,3661.589,5648.886,3117.088,672.056,5722.671,931.028,931.028,504.606,5825.412,50.494,19.487,208.22,330.985,2435.859,364.548,1075.196,1390.786,4433.119,1903.337,7313.229,4331.415,0.0,2486.857,33749.191,376.114,22.491,2920.303,1117.609,3369.62,11369.551,9138.13,53.395,4865.885,22.568,131.664,62.257,149666.775,11427.612,2924.82,5073.852,608.062,400.623,118.525,37460.691,31563.58,1426.703,2097.312,551.26,233.143,22.381,1029.192,1061.461,485.242,9534.55,5497.491,354.8,495.674,0.0,500.003,Caries
15.273,17339.711,16001.721,1088.139,570.869,5851.821,17226.21,4650.658,30802.564,15758.512,7662.44,8272.371,630.443,30262.548,1687.69,2188.084,2625.732,494.428,125257.807,332.607,1942.918,511.319,13685.3,69918.304,893.759,20814.01,4444.651,8693.414,15380.884,8562.484,1659.276,14155.359,1934.752,1934.752,1170.036,14674.873,321.414,74.95,349.511,790.622,6816.459,994.697,1807.731,3670.531,12392.91,6012.208,20487.561,14642.54,10.102,12233.977,86698.829,951.425,142.103,7844.886,2867.953,8899.86,27241.363,28693.511,52.468,12331.225,45.275,423.316,719.573,415214.471,28727.439,6830.014,14149.386,1662.172,1439.985,274.285,105787.954,92517.713,3913.736,4591.378,2835.075,1160.127,82.644,2378.566,3311.277,1398.591,31929.528,15611.254,978.094,1764.473,0.0,1276.287,Caries
15.243,18013.619,16342.348,2063.766,747.083,7094.278,18550.459,6348.527,29899.348,18605.433,9646.348,9297.379,674.908,33962.901,1754.964,2198.682,3189.366,722.65,140007.661,358.141,1983.326,722.65,13261.015,79987.817,1138.786,25137.397,5615.723,8957.573,15945.214,11216.272,1630.878,16242.149,1928.503,1928.503,1424.579,16249.69,220.748,19.336,672.071,1035.239,6659.99,1097.651,4228.758,3707.445,13134.832,6463.921,22765.497,13177.665,0.0,12175.967,90891.375,1145.433,216.673,6933.493,2636.054,10594.83,31820.714,35442.679,204.067,13330.278,137.698,406.022,356.309,463011.615,33626.443,8834.327,14789.652,2435.14,1990.302,527.879,118321.112,102370.581,5140.585,3360.295,2451.814,919.32,196.706,1899.581,2484.416,1341.439,37788.124,16477.088,940.741,1417.155,22.153,1367.532,Caries
0.0,14408.751,16441.646,744.807,419.146,5249.634,17396.711,5188.325,21801.594,15508.539,6896.424,7864.399,729.622,24527.141,1457.974,2287.833,2500.769,735.848,110123.577,198.272,1779.332,735.848,10240.192,66841.696,1282.869,18294.829,4352.163,7139.595,12273.495,7907.214,1298.729,11901.766,1762.827,1762.827,832.968,13656.987,222.408,13.123,693.144,891.388,5538.284,1308.586,2335.3,3158.636,10345.173,5227.299,18155.472,10707.388,3.384,17043.957,77278.319,735.994,129.743,6361.042,1576.712,9441.82,26574.828,25805.64,98.598,11014.342,477.534,296.999,277.146,365072.767,28585.136,8013.178,10058.095,1947.12,1586.98,199.593,88729.523,78276.082,3473.643,5501.523,2404.478,598.924,343.424,1987.128,2479.167,874.262,27907.606,11351.121,724.017,1377.945,48.246,1376.756,Caries
0.0,22565.216,24970.436,2261.338,549.239,6379.398,26489.874,7082.845,44564.26,18069.651,10425.67,9070.238,524.103,36953.208,1829.885,3694.238,3201.446,510.209,152439.142,343.141,2138.128,511.501,19013.34,92619.435,927.653,23345.952,6163.615,10460.792,18638.039,11842.506,2057.353,18042.672,2133.73,2133.73,1505.073,20548.109,161.652,35.332,303.882,1263.247,7783.635,1043.775,2202.168,4531.429,16368.66,7793.324,24304.474,17386.153,0.0,12254.022,115885.203,1164.964,105.356,11755.298,3321.452,11029.769,32374.906,38361.885,27.486,15067.133,19.336,801.67,193.475,527347.306,35947.221,8936.15,19593.777,2001.036,1957.462,312.985,138088.378,109455.52,5001.654,6046.067,1077.553,1394.055,47.646,3569.686,4575.844,1543.314,39478.079,21279.043,1013.137,2215.079,9.028,1461.621,Caries
30.444,27381.88,28532.176,2417.854,750.985,7920.31,30097.154,7207.87,48858.819,20349.284,11727.871,10964.764,877.877,45741.371,2773.109,4105.501,4087.668,877.085,198954.984,487.694,3079.863,881.311,21455.822,111322.456,1484.055,32342.884,7719.487,13842.455,24739.626,14103.032,2608.64,22173.74,3070.161,3070.161,1867.516,23958.248,292.286,39.406,450.362,1523.833,11287.431,1477.311,3406.927,5793.981,20808.805,9922.842,33498.824,22903.76,0.0,18424.434,144077.13,1572.667,117.399,13386.342,4463.246,14452.916,45172.223,45332.608,74.318,19547.874,93.772,826.125,527.047,652270.34,46845.372,9905.067,22787.729,2635.534,2207.393,457.042,160820.257,142764.054,5408.515,8097.411,2121.565,1545.874,135.572,4257.896,5628.283,2116.173,47538.612,25455.324,1310.257,2321.901,30.111,2013.697,Caries
65.823,13420.836,13164.627,956.759,490.039,5267.744,14305.28,4168.858,27093.166,14757.99,6969.652,7599.082,637.432,26238.618,1523.238,1654.331,2251.526,589.522,110179.08,188.304,1551.446,522.071,11778.452,58666.964,1032.928,18344.028,4235.695,6615.277,12706.535,7209.744,1327.441,11307.221,1523.416,1523.416,855.132,12671.956,225.5,38.752,336.163,791.027,5108.684,839.171,1563.221,2986.057,10852.859,5193.985,19035.785,12730.162,20.288,9450.729,71987.211,669.091,98.677,6572.84,2310.677,7850.908,24572.404,24316.358,53.357,9669.06,86.272,428.921,599.601,356285.576,24940.263,6141.539,11437.11,1409.977,1234.374,264.547,91845.675,82402.607,3061.47,3696.522,2226.135,910.486,85.351,1955.992,2628.219,1032.357,26887.535,12860.289,669.465,1569.594,23.485,970.294,Caries
17.811,34033.493,34894.424,3043.17,952.175,10517.701,37940.723,8487.178,64761.835,25906.695,13920.019,13899.696,889.987,56012.788,3237.639,5499.201,4983.94,905.229,244499.962,472.833,3834.093,894.534,27759.186,136731.447,1550.33,41426.039,9754.982,17348.173,28855.509,16683.282,2899.076,27022.617,3832.867,3832.867,2207.899,29699.76,306.647,27.764,336.192,1784.817,12990.732,1771.688,4170.093,6332.641,25512.146,13169.372,41842.01,28891.643,8.46,22450.467,176093.249,1666.596,222.855,15700.49,5389.442,17712.64,55837.35,56423.42,9.597,24269.885,41.186,889.586,509.954,805058.103,55933.245,13297.016,28691.787,3353.418,2586.607,513.357,203476.525,178581.875,7902.387,7976.739,1986.517,2153.47,115.122,4552.687,5637.856,2430.149,58268.98,31425.622,1549.627,3164.765,11.67,2477.671,Caries
