Nitrogen metabolism,Glycosaminoglycan degradation,2-Oxocarboxylic acid metabolism,Biosynthesis of various other secondary metabolites,Degradation of aromatic compounds,Lysine biosynthesis,Taurine and hypotaurine metabolism,"Valine, leucine and isoleucine degradation",Phenylalanine metabolism,alpha-Linolenic acid metabolism,Carbon fixation pathways in prokaryotes,Biosynthesis of secondary metabolites,Methane metabolism,C5-Branched dibasic acid metabolism,Phenazine biosynthesis,Glycolysis / Gluconeogenesis,Carbon metabolism,Butanoate metabolism,"Valine, leucine and isoleucine biosynthesis","Glycine, serine and threonine metabolism",Biosynthesis of amino acids,Carbon fixation in photosynthetic organisms,Galactose metabolism,Thiamine metabolism,Citrate cycle (TCA cycle),Lipopolysaccharide biosynthesis,Lysine degradation,Pantothenate and CoA biosynthesis,O-Antigen nucleotide sugar biosynthesis,Glutathione metabolism,Pyruvate metabolism,Polyketide sugar unit biosynthesis,Porphyrin metabolism,Biosynthesis of type II polyketide products,Benzoate degradation,Cysteine and methionine metabolism,Streptomycin biosynthesis,Mannose type O-glycan biosynthesis,Biotin metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",Pentose phosphate pathway,Microbial metabolism in diverse environments,Fatty acid degradation,Glycerophospholipid metabolism,Amino sugar and nucleotide sugar metabolism,Biosynthesis of various antibiotics,Biosynthesis of nucleotide sugars,Carotenoid biosynthesis,Folate biosynthesis,Fatty acid biosynthesis,Glyoxylate and dicarboxylate metabolism,Fatty acid elongation,One carbon pool by folate,Biosynthesis of cofactors,Nicotinate and nicotinamide metabolism,Arginine biosynthesis,Primary bile acid biosynthesis,D-Amino acid metabolism,Arginine and proline metabolism,Ascorbate and aldarate metabolism,Fatty acid metabolism,Xylene degradation,Phenylpropanoid biosynthesis,Oxidative phosphorylation,Fructose and mannose metabolism,Lipoic acid metabolism,Riboflavin metabolism,Ubiquinone and other terpenoid-quinone biosynthesis,Terpenoid backbone biosynthesis,Sphingolipid metabolism,Tryptophan metabolism,Tyrosine metabolism,Purine metabolism,Inositol phosphate metabolism,Nucleotide metabolism,"Alanine, aspartate and glutamate metabolism",Metabolic pathways,Glycerolipid metabolism,beta-Alanine metabolism,Pyrimidine metabolism,Starch and sucrose metabolism,Propanoate metabolism,Pentose and glucuronate interconversions,Sulfur metabolism,Histidine metabolism,Vitamin B6 metabolism,class
13728.991,4029.199,37507.377,1336.454,2161.363,46360.625,3902.651,7253.984,1533.431,200.013,94389.963,195774.539,34657.528,4501.804,83.229,76836.606,360461.327,1289.301,40476.928,17299.33,218541.391,55891.092,13305.767,25655.177,88103.335,20112.589,3156.926,39962.666,5385.339,775.87,26643.854,5112.887,48947.811,175.859,1317.845,33011.15,5112.887,1034.515,26246.518,36076.679,56886.675,258657.607,9067.845,5549.561,22869.944,2338.807,35417.356,759.538,82569.581,85427.209,21822.502,1806.099,37054.612,312783.749,11135.866,9138.261,37.038,393.002,3910.785,6610.903,95249.054,1317.845,901.282,43020.953,3370.85,7725.103,27469.896,13763.014,19880.73,96.514,4486.453,2340.231,39097.342,667.25,39664.529,6165.091,1173989.51,2216.933,780.739,35816.36,15916.647,2447.893,3305.738,6423.538,7200.392,4349.244,Perio
6458.347,1567.017,23225.346,444.888,1710.736,24116.016,2670.814,3718.545,1131.983,37.974,40106.035,97325.201,19679.67,2889.825,44.939,41810.847,175385.682,926.067,25206.875,8085.62,125859.1,30491.345,7064.685,10911.074,38880.461,5720.276,1422.632,21485.968,2411.36,434.443,13471.086,2338.43,21154.326,4.386,984.773,18066.824,2338.43,366.299,10232.211,21037.697,29475.027,126956.684,3825.593,2022.783,12908.129,1453.109,17604.515,115.95,46147.675,40730.604,11328.722,878.554,20252.058,146300.159,5778.381,6732.45,3.384,295.283,2527.157,3128.678,45159.42,979.026,700.012,12451.571,1322.513,1754.346,11767.828,3677.114,9671.762,85.096,2634.376,1145.827,21590.078,102.786,21625.376,3479.14,584592.88,1132.331,373.11,20086.98,10811.229,1542.053,1737.477,2492.906,5080.532,1518.196,Perio
7901.608,1969.153,20689.798,874.038,2155.349,22122.635,2540.248,5531.893,1569.996,50.658,49760.727,108761.425,21096.623,2845.472,104.619,51248.301,210409.085,970.49,23151.564,9107.082,118246.157,35118.913,7961.945,16068.689,49236.946,10696.372,2297.796,22900.883,3012.561,524.445,15350.872,2928.133,36342.287,80.868,1304.501,18832.577,2928.133,651.385,14019.306,18266.811,35710.524,151670.596,9247.599,3611.438,14302.889,1537.254,21551.032,257.189,46619.606,48791.348,11396.209,1887.624,20302.126,186477.854,6776.594,4549.737,15.152,537.356,2529.714,3207.208,59230.862,1292.789,618.075,19180.438,1446.05,4575.938,16620.646,6032.642,12727.516,201.106,2864.744,1073.362,24002.476,387.352,24162.055,2717.382,688754.163,1390.929,889.233,20965.542,9031.522,2172.302,1805.053,2920.135,3234.928,2310.057,Perio
2757.034,707.69,8655.763,353.515,532.797,10629.778,986.104,1748.304,646.291,35.469,20423.854,44111.094,8173.899,1163.976,85.281,18691.658,83736.564,369.956,8677.871,3909.985,50792.898,14413.775,3222.055,6707.029,19391.322,3828.127,887.948,8928.96,1229.816,141.213,5860.048,1204.178,12796.308,4.189,305.852,7242.706,1204.178,198.856,6270.742,7624.741,14146.344,60639.292,4398.001,1232.114,5832.631,657.016,8494.381,109.698,19168.211,19246.387,5220.296,1111.723,8435.281,74299.839,2667.151,2896.353,20.22,124.278,1176.493,1513.493,24549.623,299.284,266.148,8292.446,662.424,1499.211,6455.34,2407.134,5383.18,57.674,1095.655,518.506,9680.523,116.906,9633.142,1530.123,278471.006,605.559,451.321,8795.645,4134.265,913.618,834.674,1098.312,2250.085,873.442,Perio
12559.274,3085.302,38893.313,835.589,1938.617,38828.801,3494.196,6479.227,1378.747,55.695,70294.353,163211.34,32517.932,5552.033,141.864,64830.805,286684.876,877.664,42752.759,13881.672,196532.823,47878.123,10616.612,18091.071,66805.411,13471.475,2413.447,35635.673,4805.201,477.733,21106.318,4700.553,38343.649,15.351,1113.431,30890.496,4700.553,772.094,18347.967,30195.555,45716.197,209599.249,6622.684,3761.966,18867.907,2038.045,28864.415,144.306,72510.083,61849.666,17033.968,1336.626,30357.741,245082.636,9080.443,9101.704,0.0,424.601,3341.473,5613.571,69062.822,1111.789,1048.568,28922.119,2735.09,4282.862,20884.648,9450.01,15970.325,113.301,3746.909,1927.539,33968.299,186.65,33876.95,4436.531,951099.769,1903.624,639.008,29336.399,14137.032,2543.456,2636.95,4094.917,7729.197,2736.483,Perio
7959.785,1263.059,17963.145,452.409,1168.974,19188.291,2151.598,3712.662,846.588,20.292,35677.829,82276.923,17000.294,2348.548,35.103,36054.871,152529.753,739.162,19837.755,6695.687,97957.815,25240.876,5753.219,10199.409,36329.619,4861.77,1384.988,18151.124,2574.841,388.214,11422.819,2519.945,18991.959,19.737,672.238,14372.391,2519.945,462.356,8366.284,16348.953,25548.632,110795.424,3440.944,1840.899,9337.881,1019.674,13809.706,39.545,36230.711,31366.454,8500.073,730.815,15913.046,125945.723,4252.833,4362.451,6.734,252.911,1638.356,2823.025,35038.173,664.378,427.027,13561.254,1523.687,3306.049,10550.892,4686.65,8295.99,75.795,1883.612,1078.2,17749.188,135.195,17805.201,2193.993,489128.285,1089.417,328.336,15777.484,6911.305,1217.312,1470.759,1892.896,2833.154,1426.676,Perio
9405.265,2340.172,23686.928,496.736,1338.058,23924.417,2501.468,3737.788,779.145,20.292,42186.84,104234.922,19447.31,3086.022,62.15,38134.885,179390.372,824.237,24709.903,8745.53,125362.722,29030.402,6821.233,12192.193,43628.652,6228.078,1309.585,21303.837,3249.145,449.597,13431.612,3248.263,22654.114,21.93,777.291,18369.476,3248.263,500.963,10503.841,21212.377,29930.808,130522.372,2046.124,2037.062,12455.17,1089.996,17809.097,136.932,43016.565,41680.745,11953.288,407.829,18871.387,150057.808,4679.898,7043.567,0.0,109.85,2309.827,3845.031,43461.552,775.649,573.201,18878.083,1698.475,3479.911,11287.934,6696.413,10160.735,47.468,2153.327,1481.525,21522.33,241.824,21263.841,3602.2,592927.587,1388.252,307.647,19564.514,9293.456,1423.078,2244.888,2429.088,4749.342,1708.666,Perio
8245.763,1879.763,20287.232,532.891,1458.617,20930.599,2190.737,3452.807,861.449,0.0,38437.744,89327.122,18085.848,2675.935,22.441,37354.078,161122.609,645.841,22795.433,7798.282,108140.406,26729.35,6066.538,9074.14,37902.128,5549.387,1265.741,19579.285,2213.405,410.217,11723.582,2201.214,17499.069,2.193,851.191,16277.338,2201.214,532.227,8808.222,17947.899,27058.782,118352.345,1602.197,2221.339,10307.647,1116.997,14529.696,56.724,36673.164,35152.175,8771.915,263.868,16614.844,127043.062,4059.163,4479.503,0.0,115.849,1557.562,3747.321,36519.588,846.265,551.442,15067.906,1540.019,3481.226,11302.626,4943.46,9582.255,49.955,1829.772,1123.077,18269.925,129.852,19467.296,2417.902,516821.317,990.135,181.294,17443.799,8907.119,1054.453,1477.138,1812.441,2961.595,1530.79,Perio
3134.254,935.295,10418.664,204.059,598.282,10570.972,1097.145,1997.705,516.562,25.317,21818.826,45403.09,10607.051,1391.539,56.51,19154.16,88749.261,322.636,10972.768,4160.987,55698.147,14988.966,3370.087,5849.884,19683.363,3813.126,764.676,9898.454,1282.464,139.686,6247.476,1234.518,11038.908,5.347,330.854,8567.393,1234.518,175.19,5839.243,8282.905,14227.857,65093.685,2774.656,1089.92,5592.927,675.558,8288.347,61.128,20300.879,20240.744,5804.336,680.312,9199.942,72785.693,2477.304,3075.791,0.0,87.588,1163.059,1748.091,23548.455,321.702,298.532,7859.715,799.145,1329.49,6204.508,2301.577,4363.074,43.538,1030.921,591.888,10126.809,64.105,10036.168,1613.296,285230.831,584.489,275.761,9199.074,4783.33,912.875,977.917,1188.709,2254.244,851.479,Perio
7698.067,1244.973,15197.84,275.452,686.537,14440.392,1616.763,2773.918,471.175,2.532,29898.172,65218.212,14448.323,2107.511,24.657,24917.537,120363.627,719.673,16657.26,4683.453,76819.366,18710.658,4495.924,7443.879,28914.208,4082.858,757.808,13904.911,1896.537,290.086,8301.4,1890.165,14539.804,5.876,376.518,10923.026,1890.165,287.371,6472.418,13120.499,19142.024,89833.905,1631.148,1238.292,7006.145,869.997,10403.916,19.036,30795.13,24784.234,8110.908,285.717,13038.911,100498.366,3683.357,3791.438,0.0,97.753,1622.71,2573.011,26343.898,375.697,331.598,11113.197,1378.922,2193.211,8123.754,4030.273,6107.181,61.604,1688.487,802.838,13870.904,49.816,13997.162,2418.572,385070.846,830.938,207.636,12921.641,5752.672,1198.223,1184.354,1343.846,2563.815,1076.885,Perio
