Nitrogen metabolism,Glycosaminoglycan degradation,2-Oxocarboxylic acid metabolism,Biosynthesis of various other secondary metabolites,Degradation of aromatic compounds,Lysine biosynthesis,Taurine and hypotaurine metabolism,"Valine, leucine and isoleucine degradation",Phenylalanine metabolism,alpha-Linolenic acid metabolism,Carbon fixation pathways in prokaryotes,Biosynthesis of secondary metabolites,Methane metabolism,C5-Branched dibasic acid metabolism,Phenazine biosynthesis,Glycolysis / Gluconeogenesis,Carbon metabolism,Butanoate metabolism,"Valine, leucine and isoleucine biosynthesis","Glycine, serine and threonine metabolism",Biosynthesis of amino acids,Carbon fixation in photosynthetic organisms,Galactose metabolism,Thiamine metabolism,Citrate cycle (TCA cycle),Lipopolysaccharide biosynthesis,Lysine degradation,Pantothenate and CoA biosynthesis,O-Antigen nucleotide sugar biosynthesis,Glutathione metabolism,Pyruvate metabolism,Polyketide sugar unit biosynthesis,Porphyrin metabolism,Biosynthesis of type II polyketide products,Benzoate degradation,Cysteine and methionine metabolism,Streptomycin biosynthesis,Mannose type O-glycan biosynthesis,Biotin metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",Pentose phosphate pathway,Microbial metabolism in diverse environments,Fatty acid degradation,Glycerophospholipid metabolism,Amino sugar and nucleotide sugar metabolism,Biosynthesis of various antibiotics,Biosynthesis of nucleotide sugars,Carotenoid biosynthesis,Folate biosynthesis,Fatty acid biosynthesis,Glyoxylate and dicarboxylate metabolism,Fatty acid elongation,One carbon pool by folate,Biosynthesis of cofactors,Nicotinate and nicotinamide metabolism,Arginine biosynthesis,Primary bile acid biosynthesis,D-Amino acid metabolism,Arginine and proline metabolism,Ascorbate and aldarate metabolism,Fatty acid metabolism,Xylene degradation,Phenylpropanoid biosynthesis,Oxidative phosphorylation,Fructose and mannose metabolism,Lipoic acid metabolism,Riboflavin metabolism,Ubiquinone and other terpenoid-quinone biosynthesis,Terpenoid backbone biosynthesis,Sphingolipid metabolism,Tryptophan metabolism,Tyrosine metabolism,Purine metabolism,Inositol phosphate metabolism,Nucleotide metabolism,"Alanine, aspartate and glutamate metabolism",Metabolic pathways,Glycerolipid metabolism,beta-Alanine metabolism,Pyrimidine metabolism,Starch and sucrose metabolism,Propanoate metabolism,Pentose and glucuronate interconversions,Sulfur metabolism,Histidine metabolism,Vitamin B6 metabolism,class
11645.487,4680.681,34633.419,308.36,1406.504,39316.236,3326.793,5420.997,1005.043,2.544,72584.927,150646.117,33329.399,5756.793,2.315,64404.516,283650.843,824.065,39092.76,13629.904,182387.185,47624.536,11264.089,13831.152,63081.594,15046.874,2056.713,33541.921,3692.194,365.273,20212.086,3687.516,31463.035,31.989,753.881,28807.397,3687.516,850.112,19065.659,28344.383,44640.872,209762.607,3583.579,3764.836,17648.532,2061.602,26741.95,13.614,70871.143,66189.342,17133.819,955.291,30002.404,235236.392,7751.133,4373.498,0.0,251.673,3266.812,6794.972,70256.812,753.97,1023.584,30821.559,2744.11,5574.373,20797.786,9946.131,14669.288,6.229,3331.312,2190.95,32675.779,91.783,36432.757,4230.755,922698.437,1716.606,379.005,32366.049,13699.556,2533.688,2772.087,2855.572,6216.761,2584.444,Caries
10563.73,2371.051,28330.082,795.136,2203.184,29487.479,2992.151,5054.09,1350.081,48.102,54499.66,130680.812,24678.881,3910.068,73.412,54928.108,234540.02,960.862,30876.551,10669.451,153425.588,39399.527,9371.65,15320.812,54946.65,10412.678,1963.835,27138.088,3342.723,385.817,17228.64,3222.427,33248.145,164.029,1246.093,22137.71,3222.427,679.879,15181.13,25326.378,40551.311,171072.358,4340.859,3087.55,15672.159,1837.246,23055.554,350.567,52910.017,54936.385,13608.148,899.794,23030.135,195340.98,6707.082,7550.279,0.0,336.37,2969.169,4145.689,59378.356,1270.631,783.999,24828.753,1910.755,5038.448,16443.724,7285.36,13191.483,112.409,2910.667,1538.077,26023.393,488.276,26002.036,3794.695,766122.991,1573.942,475.099,23237.837,12054.264,1706.851,2288.087,3901.194,4722.97,2346.714,Caries
2469.359,179.997,7003.345,208.22,533.046,5843.969,685.738,1172.373,280.795,2.544,8995.806,27423.894,4331.415,947.712,19.487,11369.551,44805.86,293.322,7576.439,1903.337,33749.191,7313.229,1952.219,2737.009,11427.612,663.359,364.548,5825.412,932.716,117.685,3369.62,931.028,4778.781,0.0,314.644,4433.119,931.028,118.525,2038.713,5722.671,8345.439,31563.58,551.26,400.623,3661.589,330.985,4865.885,22.568,11841.654,9138.13,2920.303,62.257,5013.049,37460.691,1390.786,2097.312,0.0,22.491,495.674,1117.609,9534.55,313.823,131.664,2486.857,504.606,1075.196,3117.088,1426.703,2924.82,53.395,672.056,376.114,5648.886,22.381,5497.491,1029.192,149666.775,354.8,50.494,5073.852,2435.859,233.143,485.242,608.062,1061.461,500.003,Caries
5851.821,1088.139,16001.721,349.511,893.759,17339.711,1687.69,2625.732,630.443,15.273,30262.548,69918.304,14642.54,2188.084,74.95,27241.363,125257.807,570.869,17226.21,6012.208,86698.829,20487.561,4444.651,8272.371,28727.439,4650.658,994.697,14674.873,1942.918,332.607,8899.86,1934.752,15758.512,0.0,511.319,12392.91,1934.752,274.285,7662.44,14155.359,20814.01,92517.713,2835.075,1439.985,8693.414,790.622,12331.225,45.275,30802.564,28693.511,7844.886,719.573,13685.3,105787.954,3670.531,4591.378,10.102,142.103,1764.473,2867.953,31929.528,494.428,423.316,12233.977,1170.036,1807.731,8562.484,3913.736,6830.014,52.468,1659.276,951.425,15380.884,82.644,15611.254,2378.566,415214.471,978.094,321.414,14149.386,6816.459,1160.127,1398.591,1662.172,3311.277,1276.287,Caries
7094.278,2063.766,16342.348,672.071,1138.786,18013.619,1754.964,3189.366,674.908,15.243,33962.901,79987.817,13177.665,2198.682,19.336,31820.714,140007.661,747.083,18550.459,6463.921,90891.375,22765.497,5615.723,9297.379,33626.443,6348.527,1097.651,16249.69,1983.326,358.141,10594.83,1928.503,18605.433,22.153,722.65,13134.832,1928.503,527.879,9646.348,16242.149,25137.397,102370.581,2451.814,1990.302,8957.573,1035.239,13330.278,137.698,29899.348,35442.679,6933.493,356.309,13261.015,118321.112,3707.445,3360.295,0.0,216.673,1417.155,2636.054,37788.124,722.65,406.022,12175.967,1424.579,4228.758,11216.272,5140.585,8834.327,204.067,1630.878,1145.433,15945.214,196.706,16477.088,1899.581,463011.615,940.741,220.748,14789.652,6659.99,919.32,1341.439,2435.14,2484.416,1367.532,Caries
5249.634,744.807,16441.646,693.144,1282.869,14408.751,1457.974,2500.769,729.622,0.0,24527.141,66841.696,10707.388,2287.833,13.123,26574.828,110123.577,419.146,17396.711,5227.299,77278.319,18155.472,4352.163,7864.399,28585.136,5188.325,1308.586,13656.987,1779.332,198.272,9441.82,1762.827,15508.539,48.246,735.848,10345.173,1762.827,199.593,6896.424,11901.766,18294.829,78276.082,2404.478,1586.98,7139.595,891.388,11014.342,477.534,21801.594,25805.64,6361.042,277.146,10240.192,88729.523,3158.636,5501.523,3.384,129.743,1377.945,1576.712,27907.606,735.848,296.999,17043.957,832.968,2335.3,7907.214,3473.643,8013.178,98.598,1298.729,735.994,12273.495,343.424,11351.121,1987.128,365072.767,724.017,222.408,10058.095,5538.284,598.924,874.262,1947.12,2479.167,1376.756,Caries
6379.398,2261.338,24970.436,303.882,927.653,22565.216,1829.885,3201.446,524.103,0.0,36953.208,92619.435,17386.153,3694.238,35.332,32374.906,152439.142,549.239,26489.874,7793.324,115885.203,24304.474,6163.615,9070.238,35947.221,7082.845,1043.775,20548.109,2138.128,343.141,11029.769,2133.73,18069.651,9.028,511.501,16368.66,2133.73,312.985,10425.67,18042.672,23345.952,109455.52,1077.553,1957.462,10460.792,1263.247,15067.133,19.336,44564.26,38361.885,11755.298,193.475,19013.34,138088.378,4531.429,6046.067,0.0,105.356,2215.079,3321.452,39478.079,510.209,801.67,12254.022,1505.073,2202.168,11842.506,5001.654,8936.15,27.486,2057.353,1164.964,18638.039,47.646,21279.043,3569.686,527347.306,1013.137,161.652,19593.777,7783.635,1394.055,1543.314,2001.036,4575.844,1461.621,Caries
7920.31,2417.854,28532.176,450.362,1484.055,27381.88,2773.109,4087.668,877.877,30.444,45741.371,111322.456,22903.76,4105.501,39.406,45172.223,198954.984,750.985,30097.154,9922.842,144077.13,33498.824,7719.487,10964.764,46845.372,7207.87,1477.311,23958.248,3079.863,487.694,14452.916,3070.161,20349.284,30.111,881.311,20808.805,3070.161,457.042,11727.871,22173.74,32342.884,142764.054,2121.565,2207.393,13842.455,1523.833,19547.874,93.772,48858.819,45332.608,13386.342,527.047,21455.822,160820.257,5793.981,8097.411,0.0,117.399,2321.901,4463.246,47538.612,877.085,826.125,18424.434,1867.516,3406.927,14103.032,5408.515,9905.067,74.318,2608.64,1572.667,24739.626,135.572,25455.324,4257.896,652270.34,1310.257,292.286,22787.729,11287.431,1545.874,2116.173,2635.534,5628.283,2013.697,Caries
5267.744,956.759,13164.627,336.163,1032.928,13420.836,1523.238,2251.526,637.432,65.823,26238.618,58666.964,12730.162,1654.331,38.752,24572.404,110179.08,490.039,14305.28,5193.985,71987.211,19035.785,4235.695,7599.082,24940.263,4168.858,839.171,12671.956,1551.446,188.304,7850.908,1523.416,14757.99,23.485,522.071,10852.859,1523.416,264.547,6969.652,11307.221,18344.028,82402.607,2226.135,1234.374,6615.277,791.027,9669.06,86.272,27093.166,24316.358,6572.84,599.601,11778.452,91845.675,2986.057,3696.522,20.288,98.677,1569.594,2310.677,26887.535,589.522,428.921,9450.729,855.132,1563.221,7209.744,3061.47,6141.539,53.357,1327.441,669.091,12706.535,85.351,12860.289,1955.992,356285.576,669.465,225.5,11437.11,5108.684,910.486,1032.357,1409.977,2628.219,970.294,Caries
10517.701,3043.17,34894.424,336.192,1550.33,34033.493,3237.639,4983.94,889.987,17.811,56012.788,136731.447,28891.643,5499.201,27.764,55837.35,244499.962,952.175,37940.723,13169.372,176093.249,41842.01,9754.982,13899.696,55933.245,8487.178,1771.688,29699.76,3834.093,472.833,17712.64,3832.867,25906.695,11.67,894.534,25512.146,3832.867,513.357,13920.019,27022.617,41426.039,178581.875,1986.517,2586.607,17348.173,1784.817,24269.885,41.186,64761.835,56423.42,15700.49,509.954,27759.186,203476.525,6332.641,7976.739,8.46,222.855,3164.765,5389.442,58268.98,905.229,889.586,22450.467,2207.899,4170.093,16683.282,7902.387,13297.016,9.597,2899.076,1666.596,28855.509,115.122,31425.622,4552.687,805058.103,1549.627,306.647,28691.787,12990.732,2153.47,2430.149,3353.418,5637.856,2477.671,Caries
