Phenylalanine metabolism,Degradation of aromatic compounds,"Valine, leucine and isoleucine degradation",Nitrogen metabolism,Phenazine biosynthesis,alpha-Linolenic acid metabolism,Biosynthesis of various other secondary metabolites,Benzoate degradation,Fatty acid degradation,Xylene degradation,Taurine and hypotaurine metabolism,Galactose metabolism,Glycosaminoglycan degradation,Fatty acid elongation,Biosynthesis of various antibiotics,Mannose type O-glycan biosynthesis,Methane metabolism,Glycolysis / Gluconeogenesis,Terpenoid backbone biosynthesis,Microbial metabolism in diverse environments,Thiamine metabolism,Carbon fixation pathways in prokaryotes,Carbon metabolism,Carbon fixation in photosynthetic organisms,Lysine biosynthesis,"Glycine, serine and threonine metabolism",C5-Branched dibasic acid metabolism,Pyruvate metabolism,Pentose phosphate pathway,Citrate cycle (TCA cycle),beta-Alanine metabolism,"Valine, leucine and isoleucine biosynthesis",Pantothenate and CoA biosynthesis,"Phenylalanine, tyrosine and tryptophan biosynthesis",Porphyrin metabolism,Glycerophospholipid metabolism,Propanoate metabolism,Biosynthesis of amino acids,Metabolic pathways,Biosynthesis of secondary metabolites,Lysine degradation,Biotin metabolism,Fatty acid biosynthesis,2-Oxocarboxylic acid metabolism,One carbon pool by folate,O-Antigen nucleotide sugar biosynthesis,Polyketide sugar unit biosynthesis,Streptomycin biosynthesis,Butanoate metabolism,Purine metabolism,Fatty acid metabolism,Lipopolysaccharide biosynthesis,Folate biosynthesis,Ubiquinone and other terpenoid-quinone biosynthesis,Biosynthesis of cofactors,Oxidative phosphorylation,Glyoxylate and dicarboxylate metabolism,Cysteine and methionine metabolism,Lipoic acid metabolism,Riboflavin metabolism,Sphingolipid metabolism,Nucleotide metabolism,Tryptophan metabolism,Sulfur metabolism,Biosynthesis of nucleotide sugars,Vitamin B6 metabolism,Nicotinate and nicotinamide metabolism,Starch and sucrose metabolism,Glutathione metabolism,Glycerolipid metabolism,Phenylpropanoid biosynthesis,Pyrimidine metabolism,Tyrosine metabolism,Amino sugar and nucleotide sugar metabolism,Ascorbate and aldarate metabolism,Pentose and glucuronate interconversions,D-Amino acid metabolism,Fructose and mannose metabolism,Arginine and proline metabolism,Inositol phosphate metabolism,Primary bile acid biosynthesis,Arginine biosynthesis,"Alanine, aspartate and glutamate metabolism",Histidine metabolism,Carotenoid biosynthesis,Biosynthesis of type II polyketide products,class
1533.431,2161.363,7253.984,13728.991,83.229,200.013,1336.454,1317.845,9067.845,1317.845,3902.651,13305.767,4029.199,1806.099,2338.807,1034.515,34657.528,76836.606,19880.73,258657.607,25655.177,94389.963,360461.327,55891.092,46360.625,17299.33,4501.804,26643.854,56886.675,88103.335,780.739,40476.928,39962.666,36076.679,48947.811,5549.561,2447.893,218541.391,1173989.51,195774.539,3156.926,26246.518,85427.209,37507.377,37054.612,5385.339,5112.887,5112.887,1289.301,39097.342,95249.054,20112.589,82569.581,13763.014,312783.749,43020.953,21822.502,33011.15,7725.103,27469.896,96.514,39664.529,4486.453,6423.538,35417.356,4349.244,11135.866,15916.647,775.87,2216.933,901.282,35816.36,2340.231,22869.944,6610.903,3305.738,393.002,3370.85,3910.785,667.25,37.038,9138.261,6165.091,7200.392,759.538,175.859,Perio
1131.983,1710.736,3718.545,6458.347,44.939,37.974,444.888,984.773,3825.593,979.026,2670.814,7064.685,1567.017,878.554,1453.109,366.299,19679.67,41810.847,9671.762,126956.684,10911.074,40106.035,175385.682,30491.345,24116.016,8085.62,2889.825,13471.086,29475.027,38880.461,373.11,25206.875,21485.968,21037.697,21154.326,2022.783,1542.053,125859.1,584592.88,97325.201,1422.632,10232.211,40730.604,23225.346,20252.058,2411.36,2338.43,2338.43,926.067,21590.078,45159.42,5720.276,46147.675,3677.114,146300.159,12451.571,11328.722,18066.824,1754.346,11767.828,85.096,21625.376,2634.376,2492.906,17604.515,1518.196,5778.381,10811.229,434.443,1132.331,700.012,20086.98,1145.827,12908.129,3128.678,1737.477,295.283,1322.513,2527.157,102.786,3.384,6732.45,3479.14,5080.532,115.95,4.386,Perio
1569.996,2155.349,5531.893,7901.608,104.619,50.658,874.038,1304.501,9247.599,1292.789,2540.248,7961.945,1969.153,1887.624,1537.254,651.385,21096.623,51248.301,12727.516,151670.596,16068.689,49760.727,210409.085,35118.913,22122.635,9107.082,2845.472,15350.872,35710.524,49236.946,889.233,23151.564,22900.883,18266.811,36342.287,3611.438,2172.302,118246.157,688754.163,108761.425,2297.796,14019.306,48791.348,20689.798,20302.126,3012.561,2928.133,2928.133,970.49,24002.476,59230.862,10696.372,46619.606,6032.642,186477.854,19180.438,11396.209,18832.577,4575.938,16620.646,201.106,24162.055,2864.744,2920.135,21551.032,2310.057,6776.594,9031.522,524.445,1390.929,618.075,20965.542,1073.362,14302.889,3207.208,1805.053,537.356,1446.05,2529.714,387.352,15.152,4549.737,2717.382,3234.928,257.189,80.868,Perio
646.291,532.797,1748.304,2757.034,85.281,35.469,353.515,305.852,4398.001,299.284,986.104,3222.055,707.69,1111.723,657.016,198.856,8173.899,18691.658,5383.18,60639.292,6707.029,20423.854,83736.564,14413.775,10629.778,3909.985,1163.976,5860.048,14146.344,19391.322,451.321,8677.871,8928.96,7624.741,12796.308,1232.114,913.618,50792.898,278471.006,44111.094,887.948,6270.742,19246.387,8655.763,8435.281,1229.816,1204.178,1204.178,369.956,9680.523,24549.623,3828.127,19168.211,2407.134,74299.839,8292.446,5220.296,7242.706,1499.211,6455.34,57.674,9633.142,1095.655,1098.312,8494.381,873.442,2667.151,4134.265,141.213,605.559,266.148,8795.645,518.506,5832.631,1513.493,834.674,124.278,662.424,1176.493,116.906,20.22,2896.353,1530.123,2250.085,109.698,4.189,Perio
1378.747,1938.617,6479.227,12559.274,141.864,55.695,835.589,1113.431,6622.684,1111.789,3494.196,10616.612,3085.302,1336.626,2038.045,772.094,32517.932,64830.805,15970.325,209599.249,18091.071,70294.353,286684.876,47878.123,38828.801,13881.672,5552.033,21106.318,45716.197,66805.411,639.008,42752.759,35635.673,30195.555,38343.649,3761.966,2543.456,196532.823,951099.769,163211.34,2413.447,18347.967,61849.666,38893.313,30357.741,4805.201,4700.553,4700.553,877.664,33968.299,69062.822,13471.475,72510.083,9450.01,245082.636,28922.119,17033.968,30890.496,4282.862,20884.648,113.301,33876.95,3746.909,4094.917,28864.415,2736.483,9080.443,14137.032,477.733,1903.624,1048.568,29336.399,1927.539,18867.907,5613.571,2636.95,424.601,2735.09,3341.473,186.65,0.0,9101.704,4436.531,7729.197,144.306,15.351,Perio
846.588,1168.974,3712.662,7959.785,35.103,20.292,452.409,672.238,3440.944,664.378,2151.598,5753.219,1263.059,730.815,1019.674,462.356,17000.294,36054.871,8295.99,110795.424,10199.409,35677.829,152529.753,25240.876,19188.291,6695.687,2348.548,11422.819,25548.632,36329.619,328.336,19837.755,18151.124,16348.953,18991.959,1840.899,1217.312,97957.815,489128.285,82276.923,1384.988,8366.284,31366.454,17963.145,15913.046,2574.841,2519.945,2519.945,739.162,17749.188,35038.173,4861.77,36230.711,4686.65,125945.723,13561.254,8500.073,14372.391,3306.049,10550.892,75.795,17805.201,1883.612,1892.896,13809.706,1426.676,4252.833,6911.305,388.214,1089.417,427.027,15777.484,1078.2,9337.881,2823.025,1470.759,252.911,1523.687,1638.356,135.195,6.734,4362.451,2193.993,2833.154,39.545,19.737,Perio
779.145,1338.058,3737.788,9405.265,62.15,20.292,496.736,777.291,2046.124,775.649,2501.468,6821.233,2340.172,407.829,1089.996,500.963,19447.31,38134.885,10160.735,130522.372,12192.193,42186.84,179390.372,29030.402,23924.417,8745.53,3086.022,13431.612,29930.808,43628.652,307.647,24709.903,21303.837,21212.377,22654.114,2037.062,1423.078,125362.722,592927.587,104234.922,1309.585,10503.841,41680.745,23686.928,18871.387,3249.145,3248.263,3248.263,824.237,21522.33,43461.552,6228.078,43016.565,6696.413,150057.808,18878.083,11953.288,18369.476,3479.911,11287.934,47.468,21263.841,2153.327,2429.088,17809.097,1708.666,4679.898,9293.456,449.597,1388.252,573.201,19564.514,1481.525,12455.17,3845.031,2244.888,109.85,1698.475,2309.827,241.824,0.0,7043.567,3602.2,4749.342,136.932,21.93,Perio
861.449,1458.617,3452.807,8245.763,22.441,0.0,532.891,851.191,1602.197,846.265,2190.737,6066.538,1879.763,263.868,1116.997,532.227,18085.848,37354.078,9582.255,118352.345,9074.14,38437.744,161122.609,26729.35,20930.599,7798.282,2675.935,11723.582,27058.782,37902.128,181.294,22795.433,19579.285,17947.899,17499.069,2221.339,1054.453,108140.406,516821.317,89327.122,1265.741,8808.222,35152.175,20287.232,16614.844,2213.405,2201.214,2201.214,645.841,18269.925,36519.588,5549.387,36673.164,4943.46,127043.062,15067.906,8771.915,16277.338,3481.226,11302.626,49.955,19467.296,1829.772,1812.441,14529.696,1530.79,4059.163,8907.119,410.217,990.135,551.442,17443.799,1123.077,10307.647,3747.321,1477.138,115.849,1540.019,1557.562,129.852,0.0,4479.503,2417.902,2961.595,56.724,2.193,Perio
516.562,598.282,1997.705,3134.254,56.51,25.317,204.059,330.854,2774.656,321.702,1097.145,3370.087,935.295,680.312,675.558,175.19,10607.051,19154.16,4363.074,65093.685,5849.884,21818.826,88749.261,14988.966,10570.972,4160.987,1391.539,6247.476,14227.857,19683.363,275.761,10972.768,9898.454,8282.905,11038.908,1089.92,912.875,55698.147,285230.831,45403.09,764.676,5839.243,20240.744,10418.664,9199.942,1282.464,1234.518,1234.518,322.636,10126.809,23548.455,3813.126,20300.879,2301.577,72785.693,7859.715,5804.336,8567.393,1329.49,6204.508,43.538,10036.168,1030.921,1188.709,8288.347,851.479,2477.304,4783.33,139.686,584.489,298.532,9199.074,591.888,5592.927,1748.091,977.917,87.588,799.145,1163.059,64.105,0.0,3075.791,1613.296,2254.244,61.128,5.347,Perio
471.175,686.537,2773.918,7698.067,24.657,2.532,275.452,376.518,1631.148,375.697,1616.763,4495.924,1244.973,285.717,869.997,287.371,14448.323,24917.537,6107.181,89833.905,7443.879,29898.172,120363.627,18710.658,14440.392,4683.453,2107.511,8301.4,19142.024,28914.208,207.636,16657.26,13904.911,13120.499,14539.804,1238.292,1198.223,76819.366,385070.846,65218.212,757.808,6472.418,24784.234,15197.84,13038.911,1896.537,1890.165,1890.165,719.673,13870.904,26343.898,4082.858,30795.13,4030.273,100498.366,11113.197,8110.908,10923.026,2193.211,8123.754,61.604,13997.162,1688.487,1343.846,10403.916,1076.885,3683.357,5752.672,290.086,830.938,331.598,12921.641,802.838,7006.145,2573.011,1184.354,97.753,1378.922,1622.71,49.816,0.0,3791.438,2418.572,2563.815,19.036,5.876,Perio
