Phenylalanine metabolism,Degradation of aromatic compounds,"Valine, leucine and isoleucine degradation",Nitrogen metabolism,Phenazine biosynthesis,alpha-Linolenic acid metabolism,Biosynthesis of various other secondary metabolites,Benzoate degradation,Fatty acid degradation,Xylene degradation,Taurine and hypotaurine metabolism,Galactose metabolism,Glycosaminoglycan degradation,Fatty acid elongation,Biosynthesis of various antibiotics,Mannose type O-glycan biosynthesis,Methane metabolism,Glycolysis / Gluconeogenesis,Terpenoid backbone biosynthesis,Microbial metabolism in diverse environments,Thiamine metabolism,Carbon fixation pathways in prokaryotes,Carbon metabolism,Carbon fixation in photosynthetic organisms,Lysine biosynthesis,"Glycine, serine and threonine metabolism",C5-Branched dibasic acid metabolism,Pyruvate metabolism,Pentose phosphate pathway,Citrate cycle (TCA cycle),beta-Alanine metabolism,"Valine, leucine and isoleucine biosynthesis",Pantothenate and CoA biosynthesis,"Phenylalanine, tyrosine and tryptophan biosynthesis",Porphyrin metabolism,Glycerophospholipid metabolism,Propanoate metabolism,Biosynthesis of amino acids,Metabolic pathways,Biosynthesis of secondary metabolites,Lysine degradation,Biotin metabolism,Fatty acid biosynthesis,2-Oxocarboxylic acid metabolism,One carbon pool by folate,O-Antigen nucleotide sugar biosynthesis,Polyketide sugar unit biosynthesis,Streptomycin biosynthesis,Butanoate metabolism,Purine metabolism,Fatty acid metabolism,Lipopolysaccharide biosynthesis,Folate biosynthesis,Ubiquinone and other terpenoid-quinone biosynthesis,Biosynthesis of cofactors,Oxidative phosphorylation,Glyoxylate and dicarboxylate metabolism,Cysteine and methionine metabolism,Lipoic acid metabolism,Riboflavin metabolism,Sphingolipid metabolism,Nucleotide metabolism,Tryptophan metabolism,Sulfur metabolism,Biosynthesis of nucleotide sugars,Vitamin B6 metabolism,Nicotinate and nicotinamide metabolism,Starch and sucrose metabolism,Glutathione metabolism,Glycerolipid metabolism,Phenylpropanoid biosynthesis,Pyrimidine metabolism,Tyrosine metabolism,Amino sugar and nucleotide sugar metabolism,Ascorbate and aldarate metabolism,Pentose and glucuronate interconversions,D-Amino acid metabolism,Fructose and mannose metabolism,Arginine and proline metabolism,Inositol phosphate metabolism,Primary bile acid biosynthesis,Arginine biosynthesis,"Alanine, aspartate and glutamate metabolism",Histidine metabolism,Carotenoid biosynthesis,Biosynthesis of type II polyketide products,class
1005.043,1406.504,5420.997,11645.487,2.315,2.544,308.36,753.881,3583.579,753.97,3326.793,11264.089,4680.681,955.291,2061.602,850.112,33329.399,64404.516,14669.288,209762.607,13831.152,72584.927,283650.843,47624.536,39316.236,13629.904,5756.793,20212.086,44640.872,63081.594,379.005,39092.76,33541.921,28344.383,31463.035,3764.836,2533.688,182387.185,922698.437,150646.117,2056.713,19065.659,66189.342,34633.419,30002.404,3692.194,3687.516,3687.516,824.065,32675.779,70256.812,15046.874,70871.143,9946.131,235236.392,30821.559,17133.819,28807.397,5574.373,20797.786,6.229,36432.757,3331.312,2855.572,26741.95,2584.444,7751.133,13699.556,365.273,1716.606,1023.584,32366.049,2190.95,17648.532,6794.972,2772.087,251.673,2744.11,3266.812,91.783,0.0,4373.498,4230.755,6216.761,13.614,31.989,Caries
1350.081,2203.184,5054.09,10563.73,73.412,48.102,795.136,1246.093,4340.859,1270.631,2992.151,9371.65,2371.051,899.794,1837.246,679.879,24678.881,54928.108,13191.483,171072.358,15320.812,54499.66,234540.02,39399.527,29487.479,10669.451,3910.068,17228.64,40551.311,54946.65,475.099,30876.551,27138.088,25326.378,33248.145,3087.55,1706.851,153425.588,766122.991,130680.812,1963.835,15181.13,54936.385,28330.082,23030.135,3342.723,3222.427,3222.427,960.862,26023.393,59378.356,10412.678,52910.017,7285.36,195340.98,24828.753,13608.148,22137.71,5038.448,16443.724,112.409,26002.036,2910.667,3901.194,23055.554,2346.714,6707.082,12054.264,385.817,1573.942,783.999,23237.837,1538.077,15672.159,4145.689,2288.087,336.37,1910.755,2969.169,488.276,0.0,7550.279,3794.695,4722.97,350.567,164.029,Caries
280.795,533.046,1172.373,2469.359,19.487,2.544,208.22,314.644,551.26,313.823,685.738,1952.219,179.997,62.257,330.985,118.525,4331.415,11369.551,2924.82,31563.58,2737.009,8995.806,44805.86,7313.229,5843.969,1903.337,947.712,3369.62,8345.439,11427.612,50.494,7576.439,5825.412,5722.671,4778.781,400.623,233.143,33749.191,149666.775,27423.894,364.548,2038.713,9138.13,7003.345,5013.049,932.716,931.028,931.028,293.322,5648.886,9534.55,663.359,11841.654,1426.703,37460.691,2486.857,2920.303,4433.119,1075.196,3117.088,53.395,5497.491,672.056,608.062,4865.885,500.003,1390.786,2435.859,117.685,354.8,131.664,5073.852,376.114,3661.589,1117.609,485.242,22.491,504.606,495.674,22.381,0.0,2097.312,1029.192,1061.461,22.568,0.0,Caries
630.443,893.759,2625.732,5851.821,74.95,15.273,349.511,511.319,2835.075,494.428,1687.69,4444.651,1088.139,719.573,790.622,274.285,14642.54,27241.363,6830.014,92517.713,8272.371,30262.548,125257.807,20487.561,17339.711,6012.208,2188.084,8899.86,20814.01,28727.439,321.414,17226.21,14674.873,14155.359,15758.512,1439.985,1160.127,86698.829,415214.471,69918.304,994.697,7662.44,28693.511,16001.721,13685.3,1942.918,1934.752,1934.752,570.869,15380.884,31929.528,4650.658,30802.564,3913.736,105787.954,12233.977,7844.886,12392.91,1807.731,8562.484,52.468,15611.254,1659.276,1662.172,12331.225,1276.287,3670.531,6816.459,332.607,978.094,423.316,14149.386,951.425,8693.414,2867.953,1398.591,142.103,1170.036,1764.473,82.644,10.102,4591.378,2378.566,3311.277,45.275,0.0,Caries
674.908,1138.786,3189.366,7094.278,19.336,15.243,672.071,722.65,2451.814,722.65,1754.964,5615.723,2063.766,356.309,1035.239,527.879,13177.665,31820.714,8834.327,102370.581,9297.379,33962.901,140007.661,22765.497,18013.619,6463.921,2198.682,10594.83,25137.397,33626.443,220.748,18550.459,16249.69,16242.149,18605.433,1990.302,919.32,90891.375,463011.615,79987.817,1097.651,9646.348,35442.679,16342.348,13261.015,1983.326,1928.503,1928.503,747.083,15945.214,37788.124,6348.527,29899.348,5140.585,118321.112,12175.967,6933.493,13134.832,4228.758,11216.272,204.067,16477.088,1630.878,2435.14,13330.278,1367.532,3707.445,6659.99,358.141,940.741,406.022,14789.652,1145.433,8957.573,2636.054,1341.439,216.673,1424.579,1417.155,196.706,0.0,3360.295,1899.581,2484.416,137.698,22.153,Caries
729.622,1282.869,2500.769,5249.634,13.123,0.0,693.144,735.848,2404.478,735.848,1457.974,4352.163,744.807,277.146,891.388,199.593,10707.388,26574.828,8013.178,78276.082,7864.399,24527.141,110123.577,18155.472,14408.751,5227.299,2287.833,9441.82,18294.829,28585.136,222.408,17396.711,13656.987,11901.766,15508.539,1586.98,598.924,77278.319,365072.767,66841.696,1308.586,6896.424,25805.64,16441.646,10240.192,1779.332,1762.827,1762.827,419.146,12273.495,27907.606,5188.325,21801.594,3473.643,88729.523,17043.957,6361.042,10345.173,2335.3,7907.214,98.598,11351.121,1298.729,1947.12,11014.342,1376.756,3158.636,5538.284,198.272,724.017,296.999,10058.095,735.994,7139.595,1576.712,874.262,129.743,832.968,1377.945,343.424,3.384,5501.523,1987.128,2479.167,477.534,48.246,Caries
524.103,927.653,3201.446,6379.398,35.332,0.0,303.882,511.501,1077.553,510.209,1829.885,6163.615,2261.338,193.475,1263.247,312.985,17386.153,32374.906,8936.15,109455.52,9070.238,36953.208,152439.142,24304.474,22565.216,7793.324,3694.238,11029.769,23345.952,35947.221,161.652,26489.874,20548.109,18042.672,18069.651,1957.462,1394.055,115885.203,527347.306,92619.435,1043.775,10425.67,38361.885,24970.436,19013.34,2138.128,2133.73,2133.73,549.239,18638.039,39478.079,7082.845,44564.26,5001.654,138088.378,12254.022,11755.298,16368.66,2202.168,11842.506,27.486,21279.043,2057.353,2001.036,15067.133,1461.621,4531.429,7783.635,343.141,1013.137,801.67,19593.777,1164.964,10460.792,3321.452,1543.314,105.356,1505.073,2215.079,47.646,0.0,6046.067,3569.686,4575.844,19.336,9.028,Caries
877.877,1484.055,4087.668,7920.31,39.406,30.444,450.362,881.311,2121.565,877.085,2773.109,7719.487,2417.854,527.047,1523.833,457.042,22903.76,45172.223,9905.067,142764.054,10964.764,45741.371,198954.984,33498.824,27381.88,9922.842,4105.501,14452.916,32342.884,46845.372,292.286,30097.154,23958.248,22173.74,20349.284,2207.393,1545.874,144077.13,652270.34,111322.456,1477.311,11727.871,45332.608,28532.176,21455.822,3079.863,3070.161,3070.161,750.985,24739.626,47538.612,7207.87,48858.819,5408.515,160820.257,18424.434,13386.342,20808.805,3406.927,14103.032,74.318,25455.324,2608.64,2635.534,19547.874,2013.697,5793.981,11287.431,487.694,1310.257,826.125,22787.729,1572.667,13842.455,4463.246,2116.173,117.399,1867.516,2321.901,135.572,0.0,8097.411,4257.896,5628.283,93.772,30.111,Caries
637.432,1032.928,2251.526,5267.744,38.752,65.823,336.163,522.071,2226.135,589.522,1523.238,4235.695,956.759,599.601,791.027,264.547,12730.162,24572.404,6141.539,82402.607,7599.082,26238.618,110179.08,19035.785,13420.836,5193.985,1654.331,7850.908,18344.028,24940.263,225.5,14305.28,12671.956,11307.221,14757.99,1234.374,910.486,71987.211,356285.576,58666.964,839.171,6969.652,24316.358,13164.627,11778.452,1551.446,1523.416,1523.416,490.039,12706.535,26887.535,4168.858,27093.166,3061.47,91845.675,9450.729,6572.84,10852.859,1563.221,7209.744,53.357,12860.289,1327.441,1409.977,9669.06,970.294,2986.057,5108.684,188.304,669.465,428.921,11437.11,669.091,6615.277,2310.677,1032.357,98.677,855.132,1569.594,85.351,20.288,3696.522,1955.992,2628.219,86.272,23.485,Caries
889.987,1550.33,4983.94,10517.701,27.764,17.811,336.192,894.534,1986.517,905.229,3237.639,9754.982,3043.17,509.954,1784.817,513.357,28891.643,55837.35,13297.016,178581.875,13899.696,56012.788,244499.962,41842.01,34033.493,13169.372,5499.201,17712.64,41426.039,55933.245,306.647,37940.723,29699.76,27022.617,25906.695,2586.607,2153.47,176093.249,805058.103,136731.447,1771.688,13920.019,56423.42,34894.424,27759.186,3834.093,3832.867,3832.867,952.175,28855.509,58268.98,8487.178,64761.835,7902.387,203476.525,22450.467,15700.49,25512.146,4170.093,16683.282,9.597,31425.622,2899.076,3353.418,24269.885,2477.671,6332.641,12990.732,472.833,1549.627,889.586,28691.787,1666.596,17348.173,5389.442,2430.149,222.855,2207.899,3164.765,115.122,8.46,7976.739,4552.687,5637.856,41.186,11.67,Caries
