2-Oxocarboxylic acid metabolism,"Alanine, aspartate and glutamate metabolism",Amino sugar and nucleotide sugar metabolism,Arginine and proline metabolism,Arginine biosynthesis,Ascorbate and aldarate metabolism,Benzoate degradation,Biosynthesis of amino acids,Biosynthesis of cofactors,Biosynthesis of nucleotide sugars,Biosynthesis of secondary metabolites,Biosynthesis of type II polyketide products,Biosynthesis of various antibiotics,Biosynthesis of various other secondary metabolites,Biotin metabolism,Butanoate metabolism,C5-Branched dibasic acid metabolism,Carbon fixation in photosynthetic organisms,Carbon fixation pathways in prokaryotes,Carbon metabolism,Carotenoid biosynthesis,Citrate cycle (TCA cycle),Cysteine and methionine metabolism,D-Amino acid metabolism,Degradation of aromatic compounds,Fatty acid biosynthesis,Fatty acid degradation,Fatty acid elongation,Fatty acid metabolism,Folate biosynthesis,Fructose and mannose metabolism,Galactose metabolism,Glutathione metabolism,Glycerolipid metabolism,Glycerophospholipid metabolism,"Glycine, serine and threonine metabolism",Glycolysis / Gluconeogenesis,Glycosaminoglycan degradation,Glyoxylate and dicarboxylate metabolism,Histidine metabolism,Inositol phosphate metabolism,Lipoic acid metabolism,Lipopolysaccharide biosynthesis,Lysine biosynthesis,Lysine degradation,Mannose type O-glycan biosynthesis,Metabolic pathways,Methane metabolism,Microbial metabolism in diverse environments,Nicotinate and nicotinamide metabolism,Nitrogen metabolism,Nucleotide metabolism,O-Antigen nucleotide sugar biosynthesis,One carbon pool by folate,Oxidative phosphorylation,Pantothenate and CoA biosynthesis,Pentose and glucuronate interconversions,Pentose phosphate pathway,Phenazine biosynthesis,Phenylalanine metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",Phenylpropanoid biosynthesis,Polyketide sugar unit biosynthesis,Porphyrin metabolism,Primary bile acid biosynthesis,Propanoate metabolism,Purine metabolism,Pyrimidine metabolism,Pyruvate metabolism,Riboflavin metabolism,Sphingolipid metabolism,Starch and sucrose metabolism,Streptomycin biosynthesis,Sulfur metabolism,Taurine and hypotaurine metabolism,Terpenoid backbone biosynthesis,Thiamine metabolism,Tryptophan metabolism,Tyrosine metabolism,Ubiquinone and other terpenoid-quinone biosynthesis,"Valine, leucine and isoleucine biosynthesis","Valine, leucine and isoleucine degradation",Vitamin B6 metabolism,Xylene degradation,alpha-Linolenic acid metabolism,beta-Alanine metabolism,class
34633.419,4230.755,17648.532,3266.812,4373.498,6794.972,753.881,182387.185,235236.392,26741.95,150646.117,31.989,2061.602,308.36,19065.659,824.065,5756.793,47624.536,72584.927,283650.843,13.614,63081.594,28807.397,251.673,1406.504,66189.342,3583.579,955.291,70256.812,70871.143,2744.11,11264.089,365.273,1716.606,3764.836,13629.904,64404.516,4680.681,17133.819,6216.761,91.783,5574.373,15046.874,39316.236,2056.713,850.112,922698.437,33329.399,209762.607,7751.133,11645.487,36432.757,3692.194,30002.404,30821.559,33541.921,2772.087,44640.872,2.315,1005.043,28344.383,1023.584,3687.516,31463.035,0.0,2533.688,32675.779,32366.049,20212.086,20797.786,6.229,13699.556,3687.516,2855.572,3326.793,14669.288,13831.152,3331.312,2190.95,9946.131,39092.76,5420.997,2584.444,753.97,2.544,379.005,Caries
28330.082,3794.695,15672.159,2969.169,7550.279,4145.689,1246.093,153425.588,195340.98,23055.554,130680.812,164.029,1837.246,795.136,15181.13,960.862,3910.068,39399.527,54499.66,234540.02,350.567,54946.65,22137.71,336.37,2203.184,54936.385,4340.859,899.794,59378.356,52910.017,1910.755,9371.65,385.817,1573.942,3087.55,10669.451,54928.108,2371.051,13608.148,4722.97,488.276,5038.448,10412.678,29487.479,1963.835,679.879,766122.991,24678.881,171072.358,6707.082,10563.73,26002.036,3342.723,23030.135,24828.753,27138.088,2288.087,40551.311,73.412,1350.081,25326.378,783.999,3222.427,33248.145,0.0,1706.851,26023.393,23237.837,17228.64,16443.724,112.409,12054.264,3222.427,3901.194,2992.151,13191.483,15320.812,2910.667,1538.077,7285.36,30876.551,5054.09,2346.714,1270.631,48.102,475.099,Caries
7003.345,1029.192,3661.589,495.674,2097.312,1117.609,314.644,33749.191,37460.691,4865.885,27423.894,0.0,330.985,208.22,2038.713,293.322,947.712,7313.229,8995.806,44805.86,22.568,11427.612,4433.119,22.491,533.046,9138.13,551.26,62.257,9534.55,11841.654,504.606,1952.219,117.685,354.8,400.623,1903.337,11369.551,179.997,2920.303,1061.461,22.381,1075.196,663.359,5843.969,364.548,118.525,149666.775,4331.415,31563.58,1390.786,2469.359,5497.491,932.716,5013.049,2486.857,5825.412,485.242,8345.439,19.487,280.795,5722.671,131.664,931.028,4778.781,0.0,233.143,5648.886,5073.852,3369.62,3117.088,53.395,2435.859,931.028,608.062,685.738,2924.82,2737.009,672.056,376.114,1426.703,7576.439,1172.373,500.003,313.823,2.544,50.494,Caries
16001.721,2378.566,8693.414,1764.473,4591.378,2867.953,511.319,86698.829,105787.954,12331.225,69918.304,0.0,790.622,349.511,7662.44,570.869,2188.084,20487.561,30262.548,125257.807,45.275,28727.439,12392.91,142.103,893.759,28693.511,2835.075,719.573,31929.528,30802.564,1170.036,4444.651,332.607,978.094,1439.985,6012.208,27241.363,1088.139,7844.886,3311.277,82.644,1807.731,4650.658,17339.711,994.697,274.285,415214.471,14642.54,92517.713,3670.531,5851.821,15611.254,1942.918,13685.3,12233.977,14674.873,1398.591,20814.01,74.95,630.443,14155.359,423.316,1934.752,15758.512,10.102,1160.127,15380.884,14149.386,8899.86,8562.484,52.468,6816.459,1934.752,1662.172,1687.69,6830.014,8272.371,1659.276,951.425,3913.736,17226.21,2625.732,1276.287,494.428,15.273,321.414,Caries
16342.348,1899.581,8957.573,1417.155,3360.295,2636.054,722.65,90891.375,118321.112,13330.278,79987.817,22.153,1035.239,672.071,9646.348,747.083,2198.682,22765.497,33962.901,140007.661,137.698,33626.443,13134.832,216.673,1138.786,35442.679,2451.814,356.309,37788.124,29899.348,1424.579,5615.723,358.141,940.741,1990.302,6463.921,31820.714,2063.766,6933.493,2484.416,196.706,4228.758,6348.527,18013.619,1097.651,527.879,463011.615,13177.665,102370.581,3707.445,7094.278,16477.088,1983.326,13261.015,12175.967,16249.69,1341.439,25137.397,19.336,674.908,16242.149,406.022,1928.503,18605.433,0.0,919.32,15945.214,14789.652,10594.83,11216.272,204.067,6659.99,1928.503,2435.14,1754.964,8834.327,9297.379,1630.878,1145.433,5140.585,18550.459,3189.366,1367.532,722.65,15.243,220.748,Caries
16441.646,1987.128,7139.595,1377.945,5501.523,1576.712,735.848,77278.319,88729.523,11014.342,66841.696,48.246,891.388,693.144,6896.424,419.146,2287.833,18155.472,24527.141,110123.577,477.534,28585.136,10345.173,129.743,1282.869,25805.64,2404.478,277.146,27907.606,21801.594,832.968,4352.163,198.272,724.017,1586.98,5227.299,26574.828,744.807,6361.042,2479.167,343.424,2335.3,5188.325,14408.751,1308.586,199.593,365072.767,10707.388,78276.082,3158.636,5249.634,11351.121,1779.332,10240.192,17043.957,13656.987,874.262,18294.829,13.123,729.622,11901.766,296.999,1762.827,15508.539,3.384,598.924,12273.495,10058.095,9441.82,7907.214,98.598,5538.284,1762.827,1947.12,1457.974,8013.178,7864.399,1298.729,735.994,3473.643,17396.711,2500.769,1376.756,735.848,0.0,222.408,Caries
24970.436,3569.686,10460.792,2215.079,6046.067,3321.452,511.501,115885.203,138088.378,15067.133,92619.435,9.028,1263.247,303.882,10425.67,549.239,3694.238,24304.474,36953.208,152439.142,19.336,35947.221,16368.66,105.356,927.653,38361.885,1077.553,193.475,39478.079,44564.26,1505.073,6163.615,343.141,1013.137,1957.462,7793.324,32374.906,2261.338,11755.298,4575.844,47.646,2202.168,7082.845,22565.216,1043.775,312.985,527347.306,17386.153,109455.52,4531.429,6379.398,21279.043,2138.128,19013.34,12254.022,20548.109,1543.314,23345.952,35.332,524.103,18042.672,801.67,2133.73,18069.651,0.0,1394.055,18638.039,19593.777,11029.769,11842.506,27.486,7783.635,2133.73,2001.036,1829.885,8936.15,9070.238,2057.353,1164.964,5001.654,26489.874,3201.446,1461.621,510.209,0.0,161.652,Caries
28532.176,4257.896,13842.455,2321.901,8097.411,4463.246,881.311,144077.13,160820.257,19547.874,111322.456,30.111,1523.833,450.362,11727.871,750.985,4105.501,33498.824,45741.371,198954.984,93.772,46845.372,20808.805,117.399,1484.055,45332.608,2121.565,527.047,47538.612,48858.819,1867.516,7719.487,487.694,1310.257,2207.393,9922.842,45172.223,2417.854,13386.342,5628.283,135.572,3406.927,7207.87,27381.88,1477.311,457.042,652270.34,22903.76,142764.054,5793.981,7920.31,25455.324,3079.863,21455.822,18424.434,23958.248,2116.173,32342.884,39.406,877.877,22173.74,826.125,3070.161,20349.284,0.0,1545.874,24739.626,22787.729,14452.916,14103.032,74.318,11287.431,3070.161,2635.534,2773.109,9905.067,10964.764,2608.64,1572.667,5408.515,30097.154,4087.668,2013.697,877.085,30.444,292.286,Caries
13164.627,1955.992,6615.277,1569.594,3696.522,2310.677,522.071,71987.211,91845.675,9669.06,58666.964,23.485,791.027,336.163,6969.652,490.039,1654.331,19035.785,26238.618,110179.08,86.272,24940.263,10852.859,98.677,1032.928,24316.358,2226.135,599.601,26887.535,27093.166,855.132,4235.695,188.304,669.465,1234.374,5193.985,24572.404,956.759,6572.84,2628.219,85.351,1563.221,4168.858,13420.836,839.171,264.547,356285.576,12730.162,82402.607,2986.057,5267.744,12860.289,1551.446,11778.452,9450.729,12671.956,1032.357,18344.028,38.752,637.432,11307.221,428.921,1523.416,14757.99,20.288,910.486,12706.535,11437.11,7850.908,7209.744,53.357,5108.684,1523.416,1409.977,1523.238,6141.539,7599.082,1327.441,669.091,3061.47,14305.28,2251.526,970.294,589.522,65.823,225.5,Caries
34894.424,4552.687,17348.173,3164.765,7976.739,5389.442,894.534,176093.249,203476.525,24269.885,136731.447,11.67,1784.817,336.192,13920.019,952.175,5499.201,41842.01,56012.788,244499.962,41.186,55933.245,25512.146,222.855,1550.33,56423.42,1986.517,509.954,58268.98,64761.835,2207.899,9754.982,472.833,1549.627,2586.607,13169.372,55837.35,3043.17,15700.49,5637.856,115.122,4170.093,8487.178,34033.493,1771.688,513.357,805058.103,28891.643,178581.875,6332.641,10517.701,31425.622,3834.093,27759.186,22450.467,29699.76,2430.149,41426.039,27.764,889.987,27022.617,889.586,3832.867,25906.695,8.46,2153.47,28855.509,28691.787,17712.64,16683.282,9.597,12990.732,3832.867,3353.418,3237.639,13297.016,13899.696,2899.076,1666.596,7902.387,37940.723,4983.94,2477.671,905.229,17.811,306.647,Caries
