2-Oxocarboxylic acid metabolism,"Alanine, aspartate and glutamate metabolism",Amino sugar and nucleotide sugar metabolism,Arginine and proline metabolism,Arginine biosynthesis,Ascorbate and aldarate metabolism,Benzoate degradation,Biosynthesis of amino acids,Biosynthesis of cofactors,Biosynthesis of nucleotide sugars,Biosynthesis of secondary metabolites,Biosynthesis of type II polyketide products,Biosynthesis of various antibiotics,Biosynthesis of various other secondary metabolites,Biotin metabolism,Butanoate metabolism,C5-Branched dibasic acid metabolism,Carbon fixation in photosynthetic organisms,Carbon fixation pathways in prokaryotes,Carbon metabolism,Carotenoid biosynthesis,Citrate cycle (TCA cycle),Cysteine and methionine metabolism,D-Amino acid metabolism,Degradation of aromatic compounds,Fatty acid biosynthesis,Fatty acid degradation,Fatty acid elongation,Fatty acid metabolism,Folate biosynthesis,Fructose and mannose metabolism,Galactose metabolism,Glutathione metabolism,Glycerolipid metabolism,Glycerophospholipid metabolism,"Glycine, serine and threonine metabolism",Glycolysis / Gluconeogenesis,Glycosaminoglycan degradation,Glyoxylate and dicarboxylate metabolism,Histidine metabolism,Inositol phosphate metabolism,Lipoic acid metabolism,Lipopolysaccharide biosynthesis,Lysine biosynthesis,Lysine degradation,Mannose type O-glycan biosynthesis,Metabolic pathways,Methane metabolism,Microbial metabolism in diverse environments,Nicotinate and nicotinamide metabolism,Nitrogen metabolism,Nucleotide metabolism,O-Antigen nucleotide sugar biosynthesis,One carbon pool by folate,Oxidative phosphorylation,Pantothenate and CoA biosynthesis,Pentose and glucuronate interconversions,Pentose phosphate pathway,Phenazine biosynthesis,Phenylalanine metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",Phenylpropanoid biosynthesis,Polyketide sugar unit biosynthesis,Porphyrin metabolism,Primary bile acid biosynthesis,Propanoate metabolism,Purine metabolism,Pyrimidine metabolism,Pyruvate metabolism,Riboflavin metabolism,Sphingolipid metabolism,Starch and sucrose metabolism,Streptomycin biosynthesis,Sulfur metabolism,Taurine and hypotaurine metabolism,Terpenoid backbone biosynthesis,Thiamine metabolism,Tryptophan metabolism,Tyrosine metabolism,Ubiquinone and other terpenoid-quinone biosynthesis,"Valine, leucine and isoleucine biosynthesis","Valine, leucine and isoleucine degradation",Vitamin B6 metabolism,Xylene degradation,alpha-Linolenic acid metabolism,beta-Alanine metabolism,class
37507.377,6165.091,22869.944,3910.785,9138.261,6610.903,1317.845,218541.391,312783.749,35417.356,195774.539,175.859,2338.807,1336.454,26246.518,1289.301,4501.804,55891.092,94389.963,360461.327,759.538,88103.335,33011.15,393.002,2161.363,85427.209,9067.845,1806.099,95249.054,82569.581,3370.85,13305.767,775.87,2216.933,5549.561,17299.33,76836.606,4029.199,21822.502,7200.392,667.25,7725.103,20112.589,46360.625,3156.926,1034.515,1173989.51,34657.528,258657.607,11135.866,13728.991,39664.529,5385.339,37054.612,43020.953,39962.666,3305.738,56886.675,83.229,1533.431,36076.679,901.282,5112.887,48947.811,37.038,2447.893,39097.342,35816.36,26643.854,27469.896,96.514,15916.647,5112.887,6423.538,3902.651,19880.73,25655.177,4486.453,2340.231,13763.014,40476.928,7253.984,4349.244,1317.845,200.013,780.739,Perio
23225.346,3479.14,12908.129,2527.157,6732.45,3128.678,984.773,125859.1,146300.159,17604.515,97325.201,4.386,1453.109,444.888,10232.211,926.067,2889.825,30491.345,40106.035,175385.682,115.95,38880.461,18066.824,295.283,1710.736,40730.604,3825.593,878.554,45159.42,46147.675,1322.513,7064.685,434.443,1132.331,2022.783,8085.62,41810.847,1567.017,11328.722,5080.532,102.786,1754.346,5720.276,24116.016,1422.632,366.299,584592.88,19679.67,126956.684,5778.381,6458.347,21625.376,2411.36,20252.058,12451.571,21485.968,1737.477,29475.027,44.939,1131.983,21037.697,700.012,2338.43,21154.326,3.384,1542.053,21590.078,20086.98,13471.086,11767.828,85.096,10811.229,2338.43,2492.906,2670.814,9671.762,10911.074,2634.376,1145.827,3677.114,25206.875,3718.545,1518.196,979.026,37.974,373.11,Perio
20689.798,2717.382,14302.889,2529.714,4549.737,3207.208,1304.501,118246.157,186477.854,21551.032,108761.425,80.868,1537.254,874.038,14019.306,970.49,2845.472,35118.913,49760.727,210409.085,257.189,49236.946,18832.577,537.356,2155.349,48791.348,9247.599,1887.624,59230.862,46619.606,1446.05,7961.945,524.445,1390.929,3611.438,9107.082,51248.301,1969.153,11396.209,3234.928,387.352,4575.938,10696.372,22122.635,2297.796,651.385,688754.163,21096.623,151670.596,6776.594,7901.608,24162.055,3012.561,20302.126,19180.438,22900.883,1805.053,35710.524,104.619,1569.996,18266.811,618.075,2928.133,36342.287,15.152,2172.302,24002.476,20965.542,15350.872,16620.646,201.106,9031.522,2928.133,2920.135,2540.248,12727.516,16068.689,2864.744,1073.362,6032.642,23151.564,5531.893,2310.057,1292.789,50.658,889.233,Perio
8655.763,1530.123,5832.631,1176.493,2896.353,1513.493,305.852,50792.898,74299.839,8494.381,44111.094,4.189,657.016,353.515,6270.742,369.956,1163.976,14413.775,20423.854,83736.564,109.698,19391.322,7242.706,124.278,532.797,19246.387,4398.001,1111.723,24549.623,19168.211,662.424,3222.055,141.213,605.559,1232.114,3909.985,18691.658,707.69,5220.296,2250.085,116.906,1499.211,3828.127,10629.778,887.948,198.856,278471.006,8173.899,60639.292,2667.151,2757.034,9633.142,1229.816,8435.281,8292.446,8928.96,834.674,14146.344,85.281,646.291,7624.741,266.148,1204.178,12796.308,20.22,913.618,9680.523,8795.645,5860.048,6455.34,57.674,4134.265,1204.178,1098.312,986.104,5383.18,6707.029,1095.655,518.506,2407.134,8677.871,1748.304,873.442,299.284,35.469,451.321,Perio
38893.313,4436.531,18867.907,3341.473,9101.704,5613.571,1113.431,196532.823,245082.636,28864.415,163211.34,15.351,2038.045,835.589,18347.967,877.664,5552.033,47878.123,70294.353,286684.876,144.306,66805.411,30890.496,424.601,1938.617,61849.666,6622.684,1336.626,69062.822,72510.083,2735.09,10616.612,477.733,1903.624,3761.966,13881.672,64830.805,3085.302,17033.968,7729.197,186.65,4282.862,13471.475,38828.801,2413.447,772.094,951099.769,32517.932,209599.249,9080.443,12559.274,33876.95,4805.201,30357.741,28922.119,35635.673,2636.95,45716.197,141.864,1378.747,30195.555,1048.568,4700.553,38343.649,0.0,2543.456,33968.299,29336.399,21106.318,20884.648,113.301,14137.032,4700.553,4094.917,3494.196,15970.325,18091.071,3746.909,1927.539,9450.01,42752.759,6479.227,2736.483,1111.789,55.695,639.008,Perio
17963.145,2193.993,9337.881,1638.356,4362.451,2823.025,672.238,97957.815,125945.723,13809.706,82276.923,19.737,1019.674,452.409,8366.284,739.162,2348.548,25240.876,35677.829,152529.753,39.545,36329.619,14372.391,252.911,1168.974,31366.454,3440.944,730.815,35038.173,36230.711,1523.687,5753.219,388.214,1089.417,1840.899,6695.687,36054.871,1263.059,8500.073,2833.154,135.195,3306.049,4861.77,19188.291,1384.988,462.356,489128.285,17000.294,110795.424,4252.833,7959.785,17805.201,2574.841,15913.046,13561.254,18151.124,1470.759,25548.632,35.103,846.588,16348.953,427.027,2519.945,18991.959,6.734,1217.312,17749.188,15777.484,11422.819,10550.892,75.795,6911.305,2519.945,1892.896,2151.598,8295.99,10199.409,1883.612,1078.2,4686.65,19837.755,3712.662,1426.676,664.378,20.292,328.336,Perio
23686.928,3602.2,12455.17,2309.827,7043.567,3845.031,777.291,125362.722,150057.808,17809.097,104234.922,21.93,1089.996,496.736,10503.841,824.237,3086.022,29030.402,42186.84,179390.372,136.932,43628.652,18369.476,109.85,1338.058,41680.745,2046.124,407.829,43461.552,43016.565,1698.475,6821.233,449.597,1388.252,2037.062,8745.53,38134.885,2340.172,11953.288,4749.342,241.824,3479.911,6228.078,23924.417,1309.585,500.963,592927.587,19447.31,130522.372,4679.898,9405.265,21263.841,3249.145,18871.387,18878.083,21303.837,2244.888,29930.808,62.15,779.145,21212.377,573.201,3248.263,22654.114,0.0,1423.078,21522.33,19564.514,13431.612,11287.934,47.468,9293.456,3248.263,2429.088,2501.468,10160.735,12192.193,2153.327,1481.525,6696.413,24709.903,3737.788,1708.666,775.649,20.292,307.647,Perio
20287.232,2417.902,10307.647,1557.562,4479.503,3747.321,851.191,108140.406,127043.062,14529.696,89327.122,2.193,1116.997,532.891,8808.222,645.841,2675.935,26729.35,38437.744,161122.609,56.724,37902.128,16277.338,115.849,1458.617,35152.175,1602.197,263.868,36519.588,36673.164,1540.019,6066.538,410.217,990.135,2221.339,7798.282,37354.078,1879.763,8771.915,2961.595,129.852,3481.226,5549.387,20930.599,1265.741,532.227,516821.317,18085.848,118352.345,4059.163,8245.763,19467.296,2213.405,16614.844,15067.906,19579.285,1477.138,27058.782,22.441,861.449,17947.899,551.442,2201.214,17499.069,0.0,1054.453,18269.925,17443.799,11723.582,11302.626,49.955,8907.119,2201.214,1812.441,2190.737,9582.255,9074.14,1829.772,1123.077,4943.46,22795.433,3452.807,1530.79,846.265,0.0,181.294,Perio
10418.664,1613.296,5592.927,1163.059,3075.791,1748.091,330.854,55698.147,72785.693,8288.347,45403.09,5.347,675.558,204.059,5839.243,322.636,1391.539,14988.966,21818.826,88749.261,61.128,19683.363,8567.393,87.588,598.282,20240.744,2774.656,680.312,23548.455,20300.879,799.145,3370.087,139.686,584.489,1089.92,4160.987,19154.16,935.295,5804.336,2254.244,64.105,1329.49,3813.126,10570.972,764.676,175.19,285230.831,10607.051,65093.685,2477.304,3134.254,10036.168,1282.464,9199.942,7859.715,9898.454,977.917,14227.857,56.51,516.562,8282.905,298.532,1234.518,11038.908,0.0,912.875,10126.809,9199.074,6247.476,6204.508,43.538,4783.33,1234.518,1188.709,1097.145,4363.074,5849.884,1030.921,591.888,2301.577,10972.768,1997.705,851.479,321.702,25.317,275.761,Perio
15197.84,2418.572,7006.145,1622.71,3791.438,2573.011,376.518,76819.366,100498.366,10403.916,65218.212,5.876,869.997,275.452,6472.418,719.673,2107.511,18710.658,29898.172,120363.627,19.036,28914.208,10923.026,97.753,686.537,24784.234,1631.148,285.717,26343.898,30795.13,1378.922,4495.924,290.086,830.938,1238.292,4683.453,24917.537,1244.973,8110.908,2563.815,49.816,2193.211,4082.858,14440.392,757.808,287.371,385070.846,14448.323,89833.905,3683.357,7698.067,13997.162,1896.537,13038.911,11113.197,13904.911,1184.354,19142.024,24.657,471.175,13120.499,331.598,1890.165,14539.804,0.0,1198.223,13870.904,12921.641,8301.4,8123.754,61.604,5752.672,1890.165,1343.846,1616.763,6107.181,7443.879,1688.487,802.838,4030.273,16657.26,2773.918,1076.885,375.697,2.532,207.636,Perio
