class,Nitrogen metabolism,Taurine and hypotaurine metabolism,"Valine, leucine and isoleucine degradation",Methane metabolism,Glycosaminoglycan degradation,Biosynthesis of various other secondary metabolites,Biosynthesis of type II polyketide products,"Valine, leucine and isoleucine biosynthesis",Glycolysis / Gluconeogenesis,alpha-Linolenic acid metabolism,Lysine biosynthesis,2-Oxocarboxylic acid metabolism,Phenazine biosynthesis,"Glycine, serine and threonine metabolism",Citrate cycle (TCA cycle),Degradation of aromatic compounds,Phenylalanine metabolism,Thiamine metabolism,Pyruvate metabolism,Biosynthesis of secondary metabolites,Lysine degradation,Biosynthesis of amino acids,Pantothenate and CoA biosynthesis,Streptomycin biosynthesis,Polyketide sugar unit biosynthesis,Carbon fixation in photosynthetic organisms,O-Antigen nucleotide sugar biosynthesis,Glutathione metabolism,Carbon fixation pathways in prokaryotes,Lipopolysaccharide biosynthesis,Butanoate metabolism,C5-Branched dibasic acid metabolism,Carotenoid biosynthesis,Carbon metabolism,Mannose type O-glycan biosynthesis,Galactose metabolism,Cysteine and methionine metabolism,Phenylpropanoid biosynthesis,"Phenylalanine, tyrosine and tryptophan biosynthesis",Microbial metabolism in diverse environments,Glycerophospholipid metabolism,beta-Alanine metabolism,Xylene degradation,Vitamin B6 metabolism,Ubiquinone and other terpenoid-quinone biosynthesis,Tyrosine metabolism,Tryptophan metabolism,Terpenoid backbone biosynthesis,Sulfur metabolism,Starch and sucrose metabolism,Sphingolipid metabolism,Riboflavin metabolism,Pyrimidine metabolism,Purine metabolism,Propanoate metabolism,Primary bile acid biosynthesis,Porphyrin metabolism,Pentose phosphate pathway,Pentose and glucuronate interconversions,Oxidative phosphorylation,One carbon pool by folate,Nucleotide metabolism,Nicotinate and nicotinamide metabolism,Metabolic pathways,Lipoic acid metabolism,Inositol phosphate metabolism,Histidine metabolism,Glyoxylate and dicarboxylate metabolism,Glycerolipid metabolism,Fructose and mannose metabolism,Folate biosynthesis,Fatty acid metabolism,Fatty acid elongation,Fatty acid degradation,Fatty acid biosynthesis,D-Amino acid metabolism,Biotin metabolism,Biosynthesis of various antibiotics,Biosynthesis of nucleotide sugars,Biosynthesis of cofactors,Benzoate degradation,Ascorbate and aldarate metabolism,Arginine biosynthesis,Arginine and proline metabolism,Amino sugar and nucleotide sugar metabolism,"Alanine, aspartate and glutamate metabolism"
Caries,11645.487,3326.793,5420.997,33329.399,4680.681,308.36,31.989,39092.76,64404.516,2.544,39316.236,34633.419,2.315,13629.904,63081.594,1406.504,1005.043,13831.152,20212.086,150646.117,2056.713,182387.185,33541.921,3687.516,3687.516,47624.536,3692.194,365.273,72584.927,15046.874,824.065,5756.793,13.614,283650.843,850.112,11264.089,28807.397,1023.584,28344.383,209762.607,3764.836,379.005,753.97,2584.444,9946.131,2190.95,3331.312,14669.288,2855.572,13699.556,6.229,20797.786,32366.049,32675.779,2533.688,0.0,31463.035,44640.872,2772.087,30821.559,30002.404,36432.757,7751.133,922698.437,5574.373,91.783,6216.761,17133.819,1716.606,2744.11,70871.143,70256.812,955.291,3583.579,66189.342,251.673,19065.659,2061.602,26741.95,235236.392,753.881,6794.972,4373.498,3266.812,17648.532,4230.755
Caries,10563.73,2992.151,5054.09,24678.881,2371.051,795.136,164.029,30876.551,54928.108,48.102,29487.479,28330.082,73.412,10669.451,54946.65,2203.184,1350.081,15320.812,17228.64,130680.812,1963.835,153425.588,27138.088,3222.427,3222.427,39399.527,3342.723,385.817,54499.66,10412.678,960.862,3910.068,350.567,234540.02,679.879,9371.65,22137.71,783.999,25326.378,171072.358,3087.55,475.099,1270.631,2346.714,7285.36,1538.077,2910.667,13191.483,3901.194,12054.264,112.409,16443.724,23237.837,26023.393,1706.851,0.0,33248.145,40551.311,2288.087,24828.753,23030.135,26002.036,6707.082,766122.991,5038.448,488.276,4722.97,13608.148,1573.942,1910.755,52910.017,59378.356,899.794,4340.859,54936.385,336.37,15181.13,1837.246,23055.554,195340.98,1246.093,4145.689,7550.279,2969.169,15672.159,3794.695
Caries,2469.359,685.738,1172.373,4331.415,179.997,208.22,0.0,7576.439,11369.551,2.544,5843.969,7003.345,19.487,1903.337,11427.612,533.046,280.795,2737.009,3369.62,27423.894,364.548,33749.191,5825.412,931.028,931.028,7313.229,932.716,117.685,8995.806,663.359,293.322,947.712,22.568,44805.86,118.525,1952.219,4433.119,131.664,5722.671,31563.58,400.623,50.494,313.823,500.003,1426.703,376.114,672.056,2924.82,608.062,2435.859,53.395,3117.088,5073.852,5648.886,233.143,0.0,4778.781,8345.439,485.242,2486.857,5013.049,5497.491,1390.786,149666.775,1075.196,22.381,1061.461,2920.303,354.8,504.606,11841.654,9534.55,62.257,551.26,9138.13,22.491,2038.713,330.985,4865.885,37460.691,314.644,1117.609,2097.312,495.674,3661.589,1029.192
Caries,5851.821,1687.69,2625.732,14642.54,1088.139,349.511,0.0,17226.21,27241.363,15.273,17339.711,16001.721,74.95,6012.208,28727.439,893.759,630.443,8272.371,8899.86,69918.304,994.697,86698.829,14674.873,1934.752,1934.752,20487.561,1942.918,332.607,30262.548,4650.658,570.869,2188.084,45.275,125257.807,274.285,4444.651,12392.91,423.316,14155.359,92517.713,1439.985,321.414,494.428,1276.287,3913.736,951.425,1659.276,6830.014,1662.172,6816.459,52.468,8562.484,14149.386,15380.884,1160.127,10.102,15758.512,20814.01,1398.591,12233.977,13685.3,15611.254,3670.531,415214.471,1807.731,82.644,3311.277,7844.886,978.094,1170.036,30802.564,31929.528,719.573,2835.075,28693.511,142.103,7662.44,790.622,12331.225,105787.954,511.319,2867.953,4591.378,1764.473,8693.414,2378.566
Caries,7094.278,1754.964,3189.366,13177.665,2063.766,672.071,22.153,18550.459,31820.714,15.243,18013.619,16342.348,19.336,6463.921,33626.443,1138.786,674.908,9297.379,10594.83,79987.817,1097.651,90891.375,16249.69,1928.503,1928.503,22765.497,1983.326,358.141,33962.901,6348.527,747.083,2198.682,137.698,140007.661,527.879,5615.723,13134.832,406.022,16242.149,102370.581,1990.302,220.748,722.65,1367.532,5140.585,1145.433,1630.878,8834.327,2435.14,6659.99,204.067,11216.272,14789.652,15945.214,919.32,0.0,18605.433,25137.397,1341.439,12175.967,13261.015,16477.088,3707.445,463011.615,4228.758,196.706,2484.416,6933.493,940.741,1424.579,29899.348,37788.124,356.309,2451.814,35442.679,216.673,9646.348,1035.239,13330.278,118321.112,722.65,2636.054,3360.295,1417.155,8957.573,1899.581
Caries,5249.634,1457.974,2500.769,10707.388,744.807,693.144,48.246,17396.711,26574.828,0.0,14408.751,16441.646,13.123,5227.299,28585.136,1282.869,729.622,7864.399,9441.82,66841.696,1308.586,77278.319,13656.987,1762.827,1762.827,18155.472,1779.332,198.272,24527.141,5188.325,419.146,2287.833,477.534,110123.577,199.593,4352.163,10345.173,296.999,11901.766,78276.082,1586.98,222.408,735.848,1376.756,3473.643,735.994,1298.729,8013.178,1947.12,5538.284,98.598,7907.214,10058.095,12273.495,598.924,3.384,15508.539,18294.829,874.262,17043.957,10240.192,11351.121,3158.636,365072.767,2335.3,343.424,2479.167,6361.042,724.017,832.968,21801.594,27907.606,277.146,2404.478,25805.64,129.743,6896.424,891.388,11014.342,88729.523,735.848,1576.712,5501.523,1377.945,7139.595,1987.128
Caries,6379.398,1829.885,3201.446,17386.153,2261.338,303.882,9.028,26489.874,32374.906,0.0,22565.216,24970.436,35.332,7793.324,35947.221,927.653,524.103,9070.238,11029.769,92619.435,1043.775,115885.203,20548.109,2133.73,2133.73,24304.474,2138.128,343.141,36953.208,7082.845,549.239,3694.238,19.336,152439.142,312.985,6163.615,16368.66,801.67,18042.672,109455.52,1957.462,161.652,510.209,1461.621,5001.654,1164.964,2057.353,8936.15,2001.036,7783.635,27.486,11842.506,19593.777,18638.039,1394.055,0.0,18069.651,23345.952,1543.314,12254.022,19013.34,21279.043,4531.429,527347.306,2202.168,47.646,4575.844,11755.298,1013.137,1505.073,44564.26,39478.079,193.475,1077.553,38361.885,105.356,10425.67,1263.247,15067.133,138088.378,511.501,3321.452,6046.067,2215.079,10460.792,3569.686
Caries,7920.31,2773.109,4087.668,22903.76,2417.854,450.362,30.111,30097.154,45172.223,30.444,27381.88,28532.176,39.406,9922.842,46845.372,1484.055,877.877,10964.764,14452.916,111322.456,1477.311,144077.13,23958.248,3070.161,3070.161,33498.824,3079.863,487.694,45741.371,7207.87,750.985,4105.501,93.772,198954.984,457.042,7719.487,20808.805,826.125,22173.74,142764.054,2207.393,292.286,877.085,2013.697,5408.515,1572.667,2608.64,9905.067,2635.534,11287.431,74.318,14103.032,22787.729,24739.626,1545.874,0.0,20349.284,32342.884,2116.173,18424.434,21455.822,25455.324,5793.981,652270.34,3406.927,135.572,5628.283,13386.342,1310.257,1867.516,48858.819,47538.612,527.047,2121.565,45332.608,117.399,11727.871,1523.833,19547.874,160820.257,881.311,4463.246,8097.411,2321.901,13842.455,4257.896
Caries,5267.744,1523.238,2251.526,12730.162,956.759,336.163,23.485,14305.28,24572.404,65.823,13420.836,13164.627,38.752,5193.985,24940.263,1032.928,637.432,7599.082,7850.908,58666.964,839.171,71987.211,12671.956,1523.416,1523.416,19035.785,1551.446,188.304,26238.618,4168.858,490.039,1654.331,86.272,110179.08,264.547,4235.695,10852.859,428.921,11307.221,82402.607,1234.374,225.5,589.522,970.294,3061.47,669.091,1327.441,6141.539,1409.977,5108.684,53.357,7209.744,11437.11,12706.535,910.486,20.288,14757.99,18344.028,1032.357,9450.729,11778.452,12860.289,2986.057,356285.576,1563.221,85.351,2628.219,6572.84,669.465,855.132,27093.166,26887.535,599.601,2226.135,24316.358,98.677,6969.652,791.027,9669.06,91845.675,522.071,2310.677,3696.522,1569.594,6615.277,1955.992
Caries,10517.701,3237.639,4983.94,28891.643,3043.17,336.192,11.67,37940.723,55837.35,17.811,34033.493,34894.424,27.764,13169.372,55933.245,1550.33,889.987,13899.696,17712.64,136731.447,1771.688,176093.249,29699.76,3832.867,3832.867,41842.01,3834.093,472.833,56012.788,8487.178,952.175,5499.201,41.186,244499.962,513.357,9754.982,25512.146,889.586,27022.617,178581.875,2586.607,306.647,905.229,2477.671,7902.387,1666.596,2899.076,13297.016,3353.418,12990.732,9.597,16683.282,28691.787,28855.509,2153.47,8.46,25906.695,41426.039,2430.149,22450.467,27759.186,31425.622,6332.641,805058.103,4170.093,115.122,5637.856,15700.49,1549.627,2207.899,64761.835,58268.98,509.954,1986.517,56423.42,222.855,13920.019,1784.817,24269.885,203476.525,894.534,5389.442,7976.739,3164.765,17348.173,4552.687
