class,Nitrogen metabolism,Taurine and hypotaurine metabolism,"Valine, leucine and isoleucine degradation",Methane metabolism,Glycosaminoglycan degradation,Biosynthesis of various other secondary metabolites,Biosynthesis of type II polyketide products,"Valine, leucine and isoleucine biosynthesis",Glycolysis / Gluconeogenesis,alpha-Linolenic acid metabolism,Lysine biosynthesis,2-Oxocarboxylic acid metabolism,Phenazine biosynthesis,"Glycine, serine and threonine metabolism",Citrate cycle (TCA cycle),Degradation of aromatic compounds,Phenylalanine metabolism,Thiamine metabolism,Pyruvate metabolism,Biosynthesis of secondary metabolites,Lysine degradation,Biosynthesis of amino acids,Pantothenate and CoA biosynthesis,Streptomycin biosynthesis,Polyketide sugar unit biosynthesis,Carbon fixation in photosynthetic organisms,O-Antigen nucleotide sugar biosynthesis,Glutathione metabolism,Carbon fixation pathways in prokaryotes,Lipopolysaccharide biosynthesis,Butanoate metabolism,C5-Branched dibasic acid metabolism,Carotenoid biosynthesis,Carbon metabolism,Mannose type O-glycan biosynthesis,Galactose metabolism,Cysteine and methionine metabolism,Phenylpropanoid biosynthesis,"Phenylalanine, tyrosine and tryptophan biosynthesis",Microbial metabolism in diverse environments,Glycerophospholipid metabolism,beta-Alanine metabolism,Xylene degradation,Vitamin B6 metabolism,Ubiquinone and other terpenoid-quinone biosynthesis,Tyrosine metabolism,Tryptophan metabolism,Terpenoid backbone biosynthesis,Sulfur metabolism,Starch and sucrose metabolism,Sphingolipid metabolism,Riboflavin metabolism,Pyrimidine metabolism,Purine metabolism,Propanoate metabolism,Primary bile acid biosynthesis,Porphyrin metabolism,Pentose phosphate pathway,Pentose and glucuronate interconversions,Oxidative phosphorylation,One carbon pool by folate,Nucleotide metabolism,Nicotinate and nicotinamide metabolism,Metabolic pathways,Lipoic acid metabolism,Inositol phosphate metabolism,Histidine metabolism,Glyoxylate and dicarboxylate metabolism,Glycerolipid metabolism,Fructose and mannose metabolism,Folate biosynthesis,Fatty acid metabolism,Fatty acid elongation,Fatty acid degradation,Fatty acid biosynthesis,D-Amino acid metabolism,Biotin metabolism,Biosynthesis of various antibiotics,Biosynthesis of nucleotide sugars,Biosynthesis of cofactors,Benzoate degradation,Ascorbate and aldarate metabolism,Arginine biosynthesis,Arginine and proline metabolism,Amino sugar and nucleotide sugar metabolism,"Alanine, aspartate and glutamate metabolism"
Perio,13728.991,3902.651,7253.984,34657.528,4029.199,1336.454,175.859,40476.928,76836.606,200.013,46360.625,37507.377,83.229,17299.33,88103.335,2161.363,1533.431,25655.177,26643.854,195774.539,3156.926,218541.391,39962.666,5112.887,5112.887,55891.092,5385.339,775.87,94389.963,20112.589,1289.301,4501.804,759.538,360461.327,1034.515,13305.767,33011.15,901.282,36076.679,258657.607,5549.561,780.739,1317.845,4349.244,13763.014,2340.231,4486.453,19880.73,6423.538,15916.647,96.514,27469.896,35816.36,39097.342,2447.893,37.038,48947.811,56886.675,3305.738,43020.953,37054.612,39664.529,11135.866,1173989.51,7725.103,667.25,7200.392,21822.502,2216.933,3370.85,82569.581,95249.054,1806.099,9067.845,85427.209,393.002,26246.518,2338.807,35417.356,312783.749,1317.845,6610.903,9138.261,3910.785,22869.944,6165.091
Perio,6458.347,2670.814,3718.545,19679.67,1567.017,444.888,4.386,25206.875,41810.847,37.974,24116.016,23225.346,44.939,8085.62,38880.461,1710.736,1131.983,10911.074,13471.086,97325.201,1422.632,125859.1,21485.968,2338.43,2338.43,30491.345,2411.36,434.443,40106.035,5720.276,926.067,2889.825,115.95,175385.682,366.299,7064.685,18066.824,700.012,21037.697,126956.684,2022.783,373.11,979.026,1518.196,3677.114,1145.827,2634.376,9671.762,2492.906,10811.229,85.096,11767.828,20086.98,21590.078,1542.053,3.384,21154.326,29475.027,1737.477,12451.571,20252.058,21625.376,5778.381,584592.88,1754.346,102.786,5080.532,11328.722,1132.331,1322.513,46147.675,45159.42,878.554,3825.593,40730.604,295.283,10232.211,1453.109,17604.515,146300.159,984.773,3128.678,6732.45,2527.157,12908.129,3479.14
Perio,7901.608,2540.248,5531.893,21096.623,1969.153,874.038,80.868,23151.564,51248.301,50.658,22122.635,20689.798,104.619,9107.082,49236.946,2155.349,1569.996,16068.689,15350.872,108761.425,2297.796,118246.157,22900.883,2928.133,2928.133,35118.913,3012.561,524.445,49760.727,10696.372,970.49,2845.472,257.189,210409.085,651.385,7961.945,18832.577,618.075,18266.811,151670.596,3611.438,889.233,1292.789,2310.057,6032.642,1073.362,2864.744,12727.516,2920.135,9031.522,201.106,16620.646,20965.542,24002.476,2172.302,15.152,36342.287,35710.524,1805.053,19180.438,20302.126,24162.055,6776.594,688754.163,4575.938,387.352,3234.928,11396.209,1390.929,1446.05,46619.606,59230.862,1887.624,9247.599,48791.348,537.356,14019.306,1537.254,21551.032,186477.854,1304.501,3207.208,4549.737,2529.714,14302.889,2717.382
Perio,2757.034,986.104,1748.304,8173.899,707.69,353.515,4.189,8677.871,18691.658,35.469,10629.778,8655.763,85.281,3909.985,19391.322,532.797,646.291,6707.029,5860.048,44111.094,887.948,50792.898,8928.96,1204.178,1204.178,14413.775,1229.816,141.213,20423.854,3828.127,369.956,1163.976,109.698,83736.564,198.856,3222.055,7242.706,266.148,7624.741,60639.292,1232.114,451.321,299.284,873.442,2407.134,518.506,1095.655,5383.18,1098.312,4134.265,57.674,6455.34,8795.645,9680.523,913.618,20.22,12796.308,14146.344,834.674,8292.446,8435.281,9633.142,2667.151,278471.006,1499.211,116.906,2250.085,5220.296,605.559,662.424,19168.211,24549.623,1111.723,4398.001,19246.387,124.278,6270.742,657.016,8494.381,74299.839,305.852,1513.493,2896.353,1176.493,5832.631,1530.123
Perio,12559.274,3494.196,6479.227,32517.932,3085.302,835.589,15.351,42752.759,64830.805,55.695,38828.801,38893.313,141.864,13881.672,66805.411,1938.617,1378.747,18091.071,21106.318,163211.34,2413.447,196532.823,35635.673,4700.553,4700.553,47878.123,4805.201,477.733,70294.353,13471.475,877.664,5552.033,144.306,286684.876,772.094,10616.612,30890.496,1048.568,30195.555,209599.249,3761.966,639.008,1111.789,2736.483,9450.01,1927.539,3746.909,15970.325,4094.917,14137.032,113.301,20884.648,29336.399,33968.299,2543.456,0.0,38343.649,45716.197,2636.95,28922.119,30357.741,33876.95,9080.443,951099.769,4282.862,186.65,7729.197,17033.968,1903.624,2735.09,72510.083,69062.822,1336.626,6622.684,61849.666,424.601,18347.967,2038.045,28864.415,245082.636,1113.431,5613.571,9101.704,3341.473,18867.907,4436.531
Perio,7959.785,2151.598,3712.662,17000.294,1263.059,452.409,19.737,19837.755,36054.871,20.292,19188.291,17963.145,35.103,6695.687,36329.619,1168.974,846.588,10199.409,11422.819,82276.923,1384.988,97957.815,18151.124,2519.945,2519.945,25240.876,2574.841,388.214,35677.829,4861.77,739.162,2348.548,39.545,152529.753,462.356,5753.219,14372.391,427.027,16348.953,110795.424,1840.899,328.336,664.378,1426.676,4686.65,1078.2,1883.612,8295.99,1892.896,6911.305,75.795,10550.892,15777.484,17749.188,1217.312,6.734,18991.959,25548.632,1470.759,13561.254,15913.046,17805.201,4252.833,489128.285,3306.049,135.195,2833.154,8500.073,1089.417,1523.687,36230.711,35038.173,730.815,3440.944,31366.454,252.911,8366.284,1019.674,13809.706,125945.723,672.238,2823.025,4362.451,1638.356,9337.881,2193.993
Perio,9405.265,2501.468,3737.788,19447.31,2340.172,496.736,21.93,24709.903,38134.885,20.292,23924.417,23686.928,62.15,8745.53,43628.652,1338.058,779.145,12192.193,13431.612,104234.922,1309.585,125362.722,21303.837,3248.263,3248.263,29030.402,3249.145,449.597,42186.84,6228.078,824.237,3086.022,136.932,179390.372,500.963,6821.233,18369.476,573.201,21212.377,130522.372,2037.062,307.647,775.649,1708.666,6696.413,1481.525,2153.327,10160.735,2429.088,9293.456,47.468,11287.934,19564.514,21522.33,1423.078,0.0,22654.114,29930.808,2244.888,18878.083,18871.387,21263.841,4679.898,592927.587,3479.911,241.824,4749.342,11953.288,1388.252,1698.475,43016.565,43461.552,407.829,2046.124,41680.745,109.85,10503.841,1089.996,17809.097,150057.808,777.291,3845.031,7043.567,2309.827,12455.17,3602.2
Perio,8245.763,2190.737,3452.807,18085.848,1879.763,532.891,2.193,22795.433,37354.078,0.0,20930.599,20287.232,22.441,7798.282,37902.128,1458.617,861.449,9074.14,11723.582,89327.122,1265.741,108140.406,19579.285,2201.214,2201.214,26729.35,2213.405,410.217,38437.744,5549.387,645.841,2675.935,56.724,161122.609,532.227,6066.538,16277.338,551.442,17947.899,118352.345,2221.339,181.294,846.265,1530.79,4943.46,1123.077,1829.772,9582.255,1812.441,8907.119,49.955,11302.626,17443.799,18269.925,1054.453,0.0,17499.069,27058.782,1477.138,15067.906,16614.844,19467.296,4059.163,516821.317,3481.226,129.852,2961.595,8771.915,990.135,1540.019,36673.164,36519.588,263.868,1602.197,35152.175,115.849,8808.222,1116.997,14529.696,127043.062,851.191,3747.321,4479.503,1557.562,10307.647,2417.902
Perio,3134.254,1097.145,1997.705,10607.051,935.295,204.059,5.347,10972.768,19154.16,25.317,10570.972,10418.664,56.51,4160.987,19683.363,598.282,516.562,5849.884,6247.476,45403.09,764.676,55698.147,9898.454,1234.518,1234.518,14988.966,1282.464,139.686,21818.826,3813.126,322.636,1391.539,61.128,88749.261,175.19,3370.087,8567.393,298.532,8282.905,65093.685,1089.92,275.761,321.702,851.479,2301.577,591.888,1030.921,4363.074,1188.709,4783.33,43.538,6204.508,9199.074,10126.809,912.875,0.0,11038.908,14227.857,977.917,7859.715,9199.942,10036.168,2477.304,285230.831,1329.49,64.105,2254.244,5804.336,584.489,799.145,20300.879,23548.455,680.312,2774.656,20240.744,87.588,5839.243,675.558,8288.347,72785.693,330.854,1748.091,3075.791,1163.059,5592.927,1613.296
Perio,7698.067,1616.763,2773.918,14448.323,1244.973,275.452,5.876,16657.26,24917.537,2.532,14440.392,15197.84,24.657,4683.453,28914.208,686.537,471.175,7443.879,8301.4,65218.212,757.808,76819.366,13904.911,1890.165,1890.165,18710.658,1896.537,290.086,29898.172,4082.858,719.673,2107.511,19.036,120363.627,287.371,4495.924,10923.026,331.598,13120.499,89833.905,1238.292,207.636,375.697,1076.885,4030.273,802.838,1688.487,6107.181,1343.846,5752.672,61.604,8123.754,12921.641,13870.904,1198.223,0.0,14539.804,19142.024,1184.354,11113.197,13038.911,13997.162,3683.357,385070.846,2193.211,49.816,2563.815,8110.908,830.938,1378.922,30795.13,26343.898,285.717,1631.148,24784.234,97.753,6472.418,869.997,10403.916,100498.366,376.518,2573.011,3791.438,1622.71,7006.145,2418.572
